workId,catalogRole,seriesGroupId,volumeCount,reviewAverage,reviewCount
one-piece,anchor,,115,4.67,756
naruto,bridge,,72,4.67,50
dragon-ball,anchor,,42,4.56,126
attack-on-titan,anchor,,34,4.03,613
demon-slayer,bridge,,23,4.43,292
jujutsu-kaisen,bridge,,30,4.25,135
my-hero-academia,bridge,,42,4.27,96
hunter-x-hunter,anchor,,39,4.42,219
jojo-bizarre-adventure,discovery,,63,4.61,132
berserk,anchor,,43,4.37,112
vinland-saga,bridge,,29,4.31,101
vagabond,anchor,,37,4.28,133
golden-kamuy,discovery,,31,4.33,136
