workId,themeId,centrality,confidence,evidenceId
one-piece,adventure,2,0.96,ev-one-piece
one-piece,combat,2,0.92,ev-one-piece
one-piece,foundFamily,2,0.90,ev-one-piece
one-piece,exploration,2,0.94,ev-one-piece
naruto,adventure,2,0.90,ev-naruto
naruto,combat,2,0.94,ev-naruto
naruto,martialArts,2,0.92,ev-naruto
naruto,school,1,0.82,ev-naruto
naruto,foundFamily,2,0.88,ev-naruto
dragon-ball,adventure,2,0.96,ev-dragon-ball
dragon-ball,combat,2,0.92,ev-dragon-ball
dragon-ball,martialArts,2,0.88,ev-dragon-ball
dragon-ball,tournament,1,0.78,ev-dragon-ball
dragon-ball,exploration,2,0.94,ev-dragon-ball
attack-on-titan,combat,2,0.96,ev-attack-on-titan
attack-on-titan,war,2,0.90,ev-attack-on-titan
attack-on-titan,survival,2,0.98,ev-attack-on-titan
attack-on-titan,investigation,2,0.88,ev-attack-on-titan
attack-on-titan,postApocalypse,2,0.94,ev-attack-on-titan
demon-slayer,adventure,2,0.92,ev-demon-slayer
demon-slayer,combat,2,0.96,ev-demon-slayer
demon-slayer,martialArts,2,0.92,ev-demon-slayer
demon-slayer,survival,1,0.84,ev-demon-slayer
demon-slayer,revenge,2,0.92,ev-demon-slayer
demon-slayer,foundFamily,1,0.84,ev-demon-slayer
demon-slayer,historicalReconstruction,1,0.82,ev-demon-slayer
jujutsu-kaisen,combat,2,0.98,ev-jujutsu-kaisen
jujutsu-kaisen,survival,2,0.92,ev-jujutsu-kaisen
jujutsu-kaisen,school,2,0.92,ev-jujutsu-kaisen
jujutsu-kaisen,foundFamily,1,0.82,ev-jujutsu-kaisen
my-hero-academia,combat,2,0.96,ev-my-hero-academia
my-hero-academia,tournament,1,0.82,ev-my-hero-academia
my-hero-academia,school,2,0.98,ev-my-hero-academia
my-hero-academia,sportsCompetition,1,0.80,ev-my-hero-academia
my-hero-academia,foundFamily,1,0.84,ev-my-hero-academia
hunter-x-hunter,adventure,2,0.96,ev-hunter-x-hunter
hunter-x-hunter,combat,1,0.86,ev-hunter-x-hunter
hunter-x-hunter,survival,2,0.94,ev-hunter-x-hunter
hunter-x-hunter,tournament,1,0.84,ev-hunter-x-hunter
hunter-x-hunter,foundFamily,2,0.90,ev-hunter-x-hunter
hunter-x-hunter,exploration,2,0.92,ev-hunter-x-hunter
jojo-bizarre-adventure,adventure,2,0.90,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,combat,2,0.96,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,martialArts,2,0.90,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,revenge,2,0.90,ev-jojo-bizarre-adventure
jojo-bizarre-adventure,historicalReconstruction,1,0.82,ev-jojo-bizarre-adventure
berserk,adventure,1,0.90,ev-berserk
berserk,combat,2,0.98,ev-berserk
berserk,revenge,2,0.92,ev-berserk
vinland-saga,adventure,1,0.94,ev-vinland-saga
vinland-saga,combat,2,0.96,ev-vinland-saga
vinland-saga,war,2,0.98,ev-vinland-saga
vinland-saga,politics,1,0.86,ev-vinland-saga
vinland-saga,revenge,2,0.96,ev-vinland-saga
vinland-saga,historicalReconstruction,2,0.96,ev-vinland-saga
vagabond,adventure,1,0.82,ev-vagabond
vagabond,combat,2,0.96,ev-vagabond
vagabond,martialArts,2,0.98,ev-vagabond
vagabond,survival,2,0.90,ev-vagabond
vagabond,historicalReconstruction,2,0.94,ev-vagabond
golden-kamuy,adventure,2,0.96,ev-golden-kamuy
golden-kamuy,combat,2,0.92,ev-golden-kamuy
golden-kamuy,politics,1,0.84,ev-golden-kamuy
golden-kamuy,survival,2,0.98,ev-golden-kamuy
golden-kamuy,investigation,2,0.94,ev-golden-kamuy
golden-kamuy,cooking,2,0.94,ev-golden-kamuy
golden-kamuy,foundFamily,1,0.86,ev-golden-kamuy
golden-kamuy,historicalReconstruction,2,0.98,ev-golden-kamuy
golden-kamuy,exploration,2,0.94,ev-golden-kamuy
