workId,alias
made-in-abyss,Made in Abyss
made-in-abyss,メイアビ
land-of-the-lustrous,Land of the Lustrous
land-of-the-lustrous,Houseki no Kuni
mushishi,MUSHISHI
dr-stone,Dr. STONE
dr-stone,ドクターストーン
promised-neverland,The Promised Neverland
promised-neverland,約ネバ
erased,ERASED
erased,Boku dake ga Inai Machi
20th-century-boys,20th Century Boys
20th-century-boys,二十世紀少年
pluto,プルートゥ
pluto,Pluto
ghost-in-the-shell,Ghost in the Shell
ghost-in-the-shell,THE GHOST IN THE SHELL
akira,アキラ
nausicaa-of-the-valley-of-the-wind,Nausicaä of the Valley of the Wind
nausicaa-of-the-valley-of-the-wind,Nausicaa of the Valley of the Wind
witch-hat-atelier,Witch Hat Atelier
witch-hat-atelier,とんがり帽子
mob-psycho-100,Mob Psycho 100
mob-psycho-100,モブサイコ１００
