workId,axisId,state,value,confidence,evidenceId
made-in-abyss,progression,known,2,0.84,ev-made-in-abyss
made-in-abyss,problemSolving,known,2,0.86,ev-made-in-abyss
made-in-abyss,strategy,known,0,0.82,ev-made-in-abyss
made-in-abyss,pacing,known,4,0.90,ev-made-in-abyss
made-in-abyss,mysteryReveal,known,4,0.93,ev-made-in-abyss
made-in-abyss,worldBuilding,known,4,0.95,ev-made-in-abyss
made-in-abyss,characterArcWeight,known,2,0.84,ev-made-in-abyss
made-in-abyss,relationshipStructure,known,2,0.88,ev-made-in-abyss
made-in-abyss,comedy,known,2,0.82,ev-made-in-abyss
made-in-abyss,darkness,known,4,0.92,ev-made-in-abyss
made-in-abyss,mentalStress,known,4,0.90,ev-made-in-abyss
made-in-abyss,romance,known,0,0.88,ev-made-in-abyss
made-in-abyss,emotionalWarmth,known,2,0.86,ev-made-in-abyss
made-in-abyss,artRealism,known,0,0.95,ev-made-in-abyss
made-in-abyss,artDensity,known,4,0.96,ev-made-in-abyss
made-in-abyss,visualSoftness,known,4,0.94,ev-made-in-abyss
made-in-abyss,motionImpact,unknown,,,ev-made-in-abyss
land-of-the-lustrous,progression,known,2,0.86,ev-land-of-the-lustrous
land-of-the-lustrous,problemSolving,known,2,0.82,ev-land-of-the-lustrous
land-of-the-lustrous,strategy,known,0,0.84,ev-land-of-the-lustrous
land-of-the-lustrous,pacing,known,2,0.86,ev-land-of-the-lustrous
land-of-the-lustrous,mysteryReveal,known,4,0.84,ev-land-of-the-lustrous
land-of-the-lustrous,worldBuilding,known,4,0.94,ev-land-of-the-lustrous
land-of-the-lustrous,characterArcWeight,known,4,0.93,ev-land-of-the-lustrous
land-of-the-lustrous,relationshipStructure,known,4,0.88,ev-land-of-the-lustrous
land-of-the-lustrous,comedy,known,2,0.82,ev-land-of-the-lustrous
land-of-the-lustrous,darkness,known,2,0.85,ev-land-of-the-lustrous
land-of-the-lustrous,mentalStress,known,2,0.83,ev-land-of-the-lustrous
land-of-the-lustrous,romance,known,0,0.89,ev-land-of-the-lustrous
land-of-the-lustrous,emotionalWarmth,known,2,0.82,ev-land-of-the-lustrous
land-of-the-lustrous,artRealism,known,0,0.94,ev-land-of-the-lustrous
land-of-the-lustrous,artDensity,known,2,0.93,ev-land-of-the-lustrous
land-of-the-lustrous,visualSoftness,known,4,0.95,ev-land-of-the-lustrous
land-of-the-lustrous,motionImpact,unknown,,,ev-land-of-the-lustrous
mushishi,progression,known,0,0.93,ev-mushishi
mushishi,problemSolving,known,4,0.94,ev-mushishi
