workId,catalogRole,seriesGroupId,volumeCount,reviewAverage,reviewCount
made-in-abyss,anchor,,15,4.08,44
land-of-the-lustrous,bridge,,13,3.98,144
mushishi,discovery,,10,4.52,316
dr-stone,anchor,,27,4.41,61
promised-neverland,anchor,,20,4.25,102
erased,bridge,,9,4.14,103
20th-century-boys,bridge,,22,4.38,249
pluto,bridge,,8,4.40,298
ghost-in-the-shell,bridge,,3,4.50,152
akira,bridge,,6,4.58,140
nausicaa-of-the-valley-of-the-wind,discovery,,7,4.56,215
witch-hat-atelier,discovery,,16,4.42,64
mob-psycho-100,anchor,,16,4.34,36
