workId,themeId,centrality,confidence,evidenceId
made-in-abyss,adventure,2,0.94,ev-made-in-abyss
made-in-abyss,survival,2,0.92,ev-made-in-abyss
made-in-abyss,exploration,2,0.95,ev-made-in-abyss
made-in-abyss,combat,1,0.82,ev-made-in-abyss
made-in-abyss,foundFamily,1,0.82,ev-made-in-abyss
land-of-the-lustrous,combat,2,0.90,ev-land-of-the-lustrous
land-of-the-lustrous,survival,2,0.90,ev-land-of-the-lustrous
land-of-the-lustrous,investigation,1,0.80,ev-land-of-the-lustrous
land-of-the-lustrous,postApocalypse,2,0.92,ev-land-of-the-lustrous
land-of-the-lustrous,exploration,1,0.82,ev-land-of-the-lustrous
mushishi,investigation,2,0.94,ev-mushishi
mushishi,exploration,2,0.90,ev-mushishi
dr-stone,survival,2,0.94,ev-dr-stone
dr-stone,crafting,2,0.96,ev-dr-stone
dr-stone,postApocalypse,2,0.95,ev-dr-stone
dr-stone,adventure,2,0.90,ev-dr-stone
dr-stone,exploration,1,0.80,ev-dr-stone
promised-neverland,survival,2,0.95,ev-promised-neverland
promised-neverland,investigation,2,0.95,ev-promised-neverland
promised-neverland,foundFamily,2,0.94,ev-promised-neverland
erased,timeTravel,2,0.95,ev-erased
erased,investigation,2,0.93,ev-erased
erased,school,1,0.84,ev-erased
20th-century-boys,investigation,2,0.94,ev-20th-century-boys
20th-century-boys,politics,2,0.88,ev-20th-century-boys
20th-century-boys,foundFamily,1,0.84,ev-20th-century-boys
20th-century-boys,postApocalypse,1,0.78,ev-20th-century-boys
pluto,investigation,2,0.96,ev-pluto
pluto,war,1,0.87,ev-pluto
pluto,politics,1,0.82,ev-pluto
ghost-in-the-shell,investigation,2,0.93,ev-ghost-in-the-shell
ghost-in-the-shell,workplace,2,0.92,ev-ghost-in-the-shell
ghost-in-the-shell,politics,1,0.88,ev-ghost-in-the-shell
ghost-in-the-shell,combat,1,0.86,ev-ghost-in-the-shell
akira,combat,2,0.94,ev-akira
akira,postApocalypse,2,0.94,ev-akira
akira,politics,1,0.86,ev-akira
akira,survival,1,0.84,ev-akira
nausicaa-of-the-valley-of-the-wind,war,2,0.95,ev-nausicaa-of-the-valley-of-the-wind
nausicaa-of-the-valley-of-the-wind,politics,2,0.94,ev-nausicaa-of-the-valley-of-the-wind
nausicaa-of-the-valley-of-the-wind,survival,2,0.93,ev-nausicaa-of-the-valley-of-the-wind
nausicaa-of-the-valley-of-the-wind,exploration,2,0.91,ev-nausicaa-of-the-valley-of-the-wind
nausicaa-of-the-valley-of-the-wind,combat,1,0.84,ev-nausicaa-of-the-valley-of-the-wind
nausicaa-of-the-valley-of-the-wind,postApocalypse,2,0.95,ev-nausicaa-of-the-valley-of-the-wind
witch-hat-atelier,crafting,2,0.95,ev-witch-hat-atelier
witch-hat-atelier,school,2,0.93,ev-witch-hat-atelier
witch-hat-atelier,foundFamily,1,0.86,ev-witch-hat-atelier
witch-hat-atelier,adventure,1,0.82,ev-witch-hat-atelier
mob-psycho-100,combat,2,0.94,ev-mob-psycho-100
mob-psycho-100,school,2,0.92,ev-mob-psycho-100
mob-psycho-100,workplace,1,0.86,ev-mob-psycho-100
mob-psycho-100,foundFamily,1,0.85,ev-mob-psycho-100
