workId,alias
natsumes-book-of-friends,Natsume's Book of Friends
natsumes-book-of-friends,Natsume Yuujinchou
march-comes-in-like-a-lion,March Comes in Like a Lion
march-comes-in-like-a-lion,Sangatsu no Lion
a-silent-voice,A Silent Voice
a-silent-voice,Koe no Katachi
your-lie-in-april,Your Lie in April
your-lie-in-april,Shigatsu wa Kimi no Uso
kaguya-sama,かぐや様は告らせたい
kaguya-sama,Kaguya-sama: Love Is War
horimiya,HORI-SAN TO MIYAMURA-KUN
horimiya,HORIMIYA
kimi-ni-todoke,Kimi ni Todoke
kimi-ni-todoke,From Me to You
nana,NANA
nana,ナナ
skip-and-loafer,Skip and Loafer
skip-and-loafer,スキロー
bocchi-the-rock,Bocchi the Rock!
bocchi-the-rock,BOCCHI THE ROCK!
haikyu,Haikyu!!
haikyu,ハイキュー
slam-dunk,スラムダンク
slam-dunk,Slam Dunk
hajime-no-ippo,Hajime no Ippo
hajime-no-ippo,Fighting Spirit
