id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-g1c-natsumes-book-of-friends,natsumes-book-of-friends,work,natsumes-book-of-friends,model,https://www.hakusensha.co.jp/comicslist/40971/,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.90,白泉社 1권 서지와 공식 소개 및 초반 1~3권 범위를 대조한 모델 초벌 주석
ev-g1c-march-comes-in-like-a-lion,march-comes-in-like-a-lion,work,march-comes-in-like-a-lion,model,https://www.hakusensha.co.jp/comicslist/43152/,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.91,白泉社 1권 서지와 공식 작품 페이지 및 초반 1~3권 범위를 대조한 모델 초벌 주석
ev-g1c-a-silent-voice,a-silent-voice,work,a-silent-voice,model,https://www.kodansha.co.jp/comic/products/0000019055,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.92,講談社 1권 서지와 공식 소개 및 초반 1~3권 범위를 대조한 모델 초벌 주석
ev-g1c-your-lie-in-april,your-lie-in-april,work,your-lie-in-april,model,https://www.kodansha.co.jp/comic/products/0000043314,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.92,講談社 1권 서지와 공식 소개 및 초반 1~3권 범위를 대조한 모델 초벌 주석
ev-g1c-kaguya-sama,kaguya-sama,work,kaguya-sama,model,https://www.s-manga.net/items/contents.html?isbn=978-4-08-890432-0,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.93,集英社 1~3권 공식 소개와 시험 읽기 제공 범위를 대조한 모델 초벌 주석
ev-g1c-horimiya,horimiya,work,horimiya,model,https://magazine.jp.square-enix.com/top/comics/detail/9784757535435/,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.91,SQUARE ENIX 1권 서지와 공식 작품 페이지 및 초반 1~3권 범위를 대조한 모델 초벌 주석
ev-g1c-kimi-ni-todoke,kimi-ni-todoke,work,kimi-ni-todoke,model,https://www.s-manga.net/items/contents.html?isbn=4-08-846061-8,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.90,集英社 1권 서지와 공식 소개 및 시험 읽기 제공 범위를 대조한 모델 초벌 주석
ev-g1c-nana,nana,work,nana,model,https://www.s-manga.net/items/contents.html?isbn=4-08-856209-7,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.89,集英社 1권 서지와 공식 작품 페이지 및 초반 1~3권 범위를 대조한 모델 초벌 주석
ev-g1c-skip-and-loafer,skip-and-loafer,work,skip-and-loafer,model,https://www.kodansha.co.jp/comic/products/0000318780,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.91,講談社 1권 서지와 초출 정보 및 초반 1~3권 범위를 대조한 모델 초벌 주석
ev-g1c-bocchi-the-rock,bocchi-the-rock,work,bocchi-the-rock,model,https://houbunsha.co.jp/comics/detail.php?p=%25A4%25DC%25A4%25C3%25A4%25C1%25A1%25A6%25A4%25B6%25A1%25A6%25A4%25ED%25A4%25C3%25A4%25AF%25A1%25AA,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.90,芳文社 공식 전권 목록과 1권 서지 및 초반 1~3권 범위를 대조한 모델 초벌 주석
ev-g1c-haikyu,haikyu,work,haikyu,model,https://www.s-manga.net/items/contents.html?isbn=978-4-08-870453-1,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.93,集英社 1~3권 공식 소개와 시험 읽기 제공 범위를 대조한 모델 초벌 주석
ev-g1c-slam-dunk,slam-dunk,work,slam-dunk,model,https://www.s-manga.net/items/contents.html?isbn=4-08-871611-6,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.93,集英社 1~3권 공식 소개와 시험 읽기 제공 범위를 대조한 모델 초벌 주석
ev-g1c-hajime-no-ippo,hajime-no-ippo,work,hajime-no-ippo,model,https://www.kodansha.co.jp/comic/products/0000005071,2026-08-11T06:30:00+09:00,g1-chunk-c-authoring-v1,false,0.94,講談社 1권 서지와 공식 소개 및 초반 1~3권 범위를 대조한 모델 초벌 주석
