workId,axisId,state,value,confidence,evidenceId
natsumes-book-of-friends,progression,known,0,0.90,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,problemSolving,known,2,0.86,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,strategy,known,0,0.91,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,pacing,known,2,0.86,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,mysteryReveal,known,2,0.82,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,worldBuilding,known,4,0.91,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,characterArcWeight,known,4,0.94,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,relationshipStructure,known,2,0.90,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,comedy,known,2,0.88,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,darkness,known,2,0.84,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,mentalStress,known,2,0.88,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,romance,known,0,0.91,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,emotionalWarmth,known,4,0.95,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,artRealism,known,2,0.78,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,artDensity,known,2,0.76,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,visualSoftness,known,4,0.84,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,motionImpact,known,2,0.82,ev-g1c-natsumes-book-of-friends
march-comes-in-like-a-lion,progression,known,2,0.88,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,problemSolving,known,4,0.96,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,strategy,known,2,0.96,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,pacing,known,0,0.86,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,mysteryReveal,known,0,0.91,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,worldBuilding,known,2,0.90,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,characterArcWeight,known,4,0.97,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,relationshipStructure,known,4,0.97,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,comedy,known,2,0.90,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,darkness,known,2,0.89,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,mentalStress,known,4,0.96,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,romance,known,0,0.84,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,emotionalWarmth,known,4,0.97,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,artRealism,known,2,0.80,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,artDensity,known,2,0.78,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,visualSoftness,known,4,0.85,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,motionImpact,unknown,,,ev-g1c-march-comes-in-like-a-lion
a-silent-voice,progression,known,2,0.92,ev-g1c-a-silent-voice
a-silent-voice,problemSolving,known,0,0.94,ev-g1c-a-silent-voice
a-silent-voice,strategy,known,0,0.94,ev-g1c-a-silent-voice
a-silent-voice,pacing,known,2,0.90,ev-g1c-a-silent-voice
a-silent-voice,mysteryReveal,known,2,0.80,ev-g1c-a-silent-voice
a-silent-voice,worldBuilding,known,0,0.93,ev-g1c-a-silent-voice
a-silent-voice,characterArcWeight,known,4,0.98,ev-g1c-a-silent-voice
a-silent-voice,relationshipStructure,known,4,0.96,ev-g1c-a-silent-voice
a-silent-voice,comedy,known,0,0.86,ev-g1c-a-silent-voice
a-silent-voice,darkness,known,2,0.94,ev-g1c-a-silent-voice
a-silent-voice,mentalStress,known,4,0.98,ev-g1c-a-silent-voice
a-silent-voice,romance,known,2,0.84,ev-g1c-a-silent-voice
a-silent-voice,emotionalWarmth,known,2,0.89,ev-g1c-a-silent-voice
