workId,catalogRole,seriesGroupId,volumeCount,reviewAverage,reviewCount
natsumes-book-of-friends,anchor,,33,4.55,457
march-comes-in-like-a-lion,discovery,,18,4.42,771
a-silent-voice,anchor,,7,4.14,139
your-lie-in-april,bridge,,11,4.19,133
kaguya-sama,anchor,,28,4.44,31
horimiya,discovery,,17,4.32,97
kimi-ni-todoke,discovery,,30,4.59,693
nana,discovery,,21,4.33,312
skip-and-loafer,bridge,,13,4.60,73
bocchi-the-rock,bridge,,8,4.17,12
haikyu,discovery,,45,4.53,245
slam-dunk,anchor,,31,4.80,271
hajime-no-ippo,bridge,,145,4.25,62
