workId,themeId,centrality,confidence,evidenceId
natsumes-book-of-friends,investigation,1,0.78,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,school,1,0.82,ev-g1c-natsumes-book-of-friends
natsumes-book-of-friends,foundFamily,2,0.94,ev-g1c-natsumes-book-of-friends
march-comes-in-like-a-lion,tournament,2,0.94,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,school,1,0.82,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,workplace,2,0.90,ev-g1c-march-comes-in-like-a-lion
march-comes-in-like-a-lion,foundFamily,2,0.96,ev-g1c-march-comes-in-like-a-lion
a-silent-voice,school,2,0.98,ev-g1c-a-silent-voice
your-lie-in-april,tournament,2,0.93,ev-g1c-your-lie-in-april
your-lie-in-april,school,2,0.96,ev-g1c-your-lie-in-april
kaguya-sama,school,2,0.99,ev-g1c-kaguya-sama
horimiya,school,2,0.99,ev-g1c-horimiya
kimi-ni-todoke,school,2,0.99,ev-g1c-kimi-ni-todoke
kimi-ni-todoke,foundFamily,2,0.92,ev-g1c-kimi-ni-todoke
nana,workplace,2,0.91,ev-g1c-nana
nana,foundFamily,2,0.93,ev-g1c-nana
skip-and-loafer,school,2,0.99,ev-g1c-skip-and-loafer
skip-and-loafer,foundFamily,2,0.94,ev-g1c-skip-and-loafer
bocchi-the-rock,school,1,0.84,ev-g1c-bocchi-the-rock
bocchi-the-rock,workplace,2,0.91,ev-g1c-bocchi-the-rock
bocchi-the-rock,foundFamily,2,0.95,ev-g1c-bocchi-the-rock
haikyu,tournament,2,0.98,ev-g1c-haikyu
haikyu,school,2,0.99,ev-g1c-haikyu
haikyu,sportsCompetition,2,0.99,ev-g1c-haikyu
slam-dunk,school,2,0.99,ev-g1c-slam-dunk
slam-dunk,sportsCompetition,2,0.99,ev-g1c-slam-dunk
hajime-no-ippo,combat,2,0.96,ev-g1c-hajime-no-ippo
hajime-no-ippo,martialArts,2,0.98,ev-g1c-hajime-no-ippo
hajime-no-ippo,tournament,2,0.97,ev-g1c-hajime-no-ippo
hajime-no-ippo,sportsCompetition,2,0.99,ev-g1c-hajime-no-ippo
