id,title,titleKana,creators,publisher,demographic,status,firstPublishedYear,genres,factorScope,onboardingEligible,recommendationEligible,libraryOnly,metadataConfidence,groupingConfidence,sourceAgreement,annotationReviewMethod,annotationReviewedAt,annotationReviewReference,evidenceId
natsumes-book-of-friends,夏目友人帳,ナツメユウジンチョウ,緑川ゆき,白泉社,shojo,ongoing,2003,fantasy;sliceOfLife,entry_1_3_volumes,true,true,false,0.98,0.99,0.96,unreviewed,,,ev-g1c-natsumes-book-of-friends
march-comes-in-like-a-lion,3月のライオン,サンガツノライオン,羽海野チカ,白泉社,seinen,ongoing,2007,sliceOfLife,entry_1_3_volumes,false,true,false,0.98,0.99,0.98,unreviewed,,,ev-g1c-march-comes-in-like-a-lion
a-silent-voice,聲の形,コエノカタチ,大今良時,講談社,shonen,completed,2013,sliceOfLife;romance,entry_1_3_volumes,true,true,false,0.99,0.99,0.99,unreviewed,,,ev-g1c-a-silent-voice
your-lie-in-april,四月は君の嘘,シガツハキミノウソ,新川直司,講談社,shonen,completed,2011,romance;sliceOfLife,entry_1_3_volumes,false,true,false,0.99,0.99,0.99,unreviewed,,,ev-g1c-your-lie-in-april
kaguya-sama,かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,カグヤサマハコクラセタイ,赤坂アカ,集英社,seinen,completed,2015,comedy;romance,entry_1_3_volumes,true,true,false,0.99,0.99,0.99,unreviewed,,,ev-g1c-kaguya-sama
horimiya,ホリミヤ,ホリミヤ,HERO;萩原ダイスケ,スクウェア・エニックス,unknown,completed,2011,comedy;sliceOfLife;romance,entry_1_3_volumes,false,true,false,0.98,0.98,0.96,unreviewed,,,ev-g1c-horimiya
kimi-ni-todoke,君に届け,キミニトドケ,椎名軽穂,集英社,shojo,completed,2005,sliceOfLife;romance,entry_1_3_volumes,false,true,false,0.98,0.99,0.97,unreviewed,,,ev-g1c-kimi-ni-todoke
nana,NANA―ナナ―,ナナ,矢沢あい,集英社,shojo,unknown,2000,romance;sliceOfLife,entry_1_3_volumes,false,true,false,0.95,0.99,0.86,unreviewed,,,ev-g1c-nana
skip-and-loafer,スキップとローファー,スキップトローファー,高松美咲,講談社,seinen,ongoing,2018,comedy;sliceOfLife;romance,entry_1_3_volumes,false,true,false,0.99,0.99,0.98,unreviewed,,,ev-g1c-skip-and-loafer
bocchi-the-rock,ぼっち・ざ・ろっく！,ボッチザロック,はまじあき,芳文社,unknown,ongoing,2018,comedy;sliceOfLife,entry_1_3_volumes,false,true,false,0.96,0.99,0.94,unreviewed,,,ev-g1c-bocchi-the-rock
haikyu,ハイキュー!!,ハイキュー,古舘春一,集英社,shonen,completed,2012,sports;comedy,entry_1_3_volumes,false,true,false,0.99,0.99,0.99,unreviewed,,,ev-g1c-haikyu
slam-dunk,SLAM DUNK,スラムダンク,井上雄彦,集英社,shonen,completed,1990,sports;comedy,entry_1_3_volumes,true,true,false,0.99,0.99,0.99,unreviewed,,,ev-g1c-slam-dunk
hajime-no-ippo,はじめの一歩,ハジメノイッポ,森川ジョージ,講談社,shonen,ongoing,1989,action;sports,entry_1_3_volumes,false,true,false,0.99,0.99,0.99,unreviewed,,,ev-g1c-hajime-no-ippo
