workId,axisId,state,value,confidence,evidenceId
beyond-the-clouds,progression,known,1,0.85,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,problemSolving,known,2,0.90,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,strategy,known,0,0.90,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,pacing,known,2,0.90,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,mysteryReveal,known,2,0.90,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,worldBuilding,known,2,0.90,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,characterArcWeight,known,2,0.90,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,relationshipStructure,known,2,0.90,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,comedy,known,1,0.90,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,darkness,known,1,0.90,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,mentalStress,known,1,0.90,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,romance,known,1,0.85,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,emotionalWarmth,known,3,0.90,blind-replacement-v1-beyond-the-clouds
chis-sweet-adventures,progression,known,0,0.95,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,problemSolving,known,0,0.95,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,strategy,known,0,0.95,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,pacing,known,0,0.95,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,mysteryReveal,known,0,0.95,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,worldBuilding,known,0,0.95,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,characterArcWeight,known,1,0.90,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,relationshipStructure,known,2,0.90,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,comedy,known,3,0.95,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,darkness,known,0,0.95,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,mentalStress,known,0,0.95,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,romance,known,0,0.95,blind-replacement-v1-chis-sweet-adventures
chis-sweet-adventures,emotionalWarmth,known,4,0.95,blind-replacement-v1-chis-sweet-adventures
fairy-tail,progression,known,2,0.90,blind-replacement-v1-fairy-tail
fairy-tail,problemSolving,known,1,0.90,blind-replacement-v1-fairy-tail
fairy-tail,strategy,known,0,0.90,blind-replacement-v1-fairy-tail
fairy-tail,pacing,known,3,0.90,blind-replacement-v1-fairy-tail
fairy-tail,mysteryReveal,known,1,0.85,blind-replacement-v1-fairy-tail
fairy-tail,worldBuilding,known,2,0.90,blind-replacement-v1-fairy-tail
fairy-tail,characterArcWeight,known,2,0.90,blind-replacement-v1-fairy-tail
fairy-tail,relationshipStructure,known,2,0.90,blind-replacement-v1-fairy-tail
fairy-tail,comedy,known,3,0.90,blind-replacement-v1-fairy-tail
fairy-tail,darkness,known,1,0.90,blind-replacement-v1-fairy-tail
fairy-tail,mentalStress,known,1,0.90,blind-replacement-v1-fairy-tail
fairy-tail,romance,known,1,0.85,blind-replacement-v1-fairy-tail
fairy-tail,emotionalWarmth,known,3,0.90,blind-replacement-v1-fairy-tail
fire-force,progression,known,2,0.90,blind-replacement-v1-fire-force
fire-force,problemSolving,known,2,0.90,blind-replacement-v1-fire-force
fire-force,strategy,known,1,0.85,blind-replacement-v1-fire-force
fire-force,pacing,known,3,0.90,blind-replacement-v1-fire-force
fire-force,mysteryReveal,known,3,0.90,blind-replacement-v1-fire-force
fire-force,worldBuilding,known,3,0.90,blind-replacement-v1-fire-force
fire-force,characterArcWeight,known,2,0.90,blind-replacement-v1-fire-force
fire-force,relationshipStructure,known,2,0.90,blind-replacement-v1-fire-force
fire-force,comedy,known,2,0.90,blind-replacement-v1-fire-force
fire-force,darkness,known,3,0.90,blind-replacement-v1-fire-force
fire-force,mentalStress,known,2,0.90,blind-replacement-v1-fire-force
fire-force,romance,known,1,0.85,blind-replacement-v1-fire-force
fire-force,emotionalWarmth,known,2,0.90,blind-replacement-v1-fire-force
lovely-muco,progression,known,0,0.95,blind-replacement-v1-lovely-muco
lovely-muco,problemSolving,known,0,0.95,blind-replacement-v1-lovely-muco
lovely-muco,strategy,known,0,0.95,blind-replacement-v1-lovely-muco
lovely-muco,pacing,known,0,0.95,blind-replacement-v1-lovely-muco
lovely-muco,mysteryReveal,known,0,0.95,blind-replacement-v1-lovely-muco
lovely-muco,worldBuilding,known,1,0.90,blind-replacement-v1-lovely-muco
lovely-muco,characterArcWeight,known,1,0.90,blind-replacement-v1-lovely-muco
lovely-muco,relationshipStructure,known,1,0.90,blind-replacement-v1-lovely-muco
lovely-muco,comedy,known,3,0.95,blind-replacement-v1-lovely-muco
lovely-muco,darkness,known,0,0.95,blind-replacement-v1-lovely-muco
lovely-muco,mentalStress,known,0,0.95,blind-replacement-v1-lovely-muco
lovely-muco,romance,known,0,0.95,blind-replacement-v1-lovely-muco
lovely-muco,emotionalWarmth,known,4,0.95,blind-replacement-v1-lovely-muco
noragami-stray-god,progression,known,2,0.90,blind-replacement-v1-noragami-stray-god
noragami-stray-god,problemSolving,known,2,0.90,blind-replacement-v1-noragami-stray-god
noragami-stray-god,strategy,known,1,0.85,blind-replacement-v1-noragami-stray-god
noragami-stray-god,pacing,known,2,0.90,blind-replacement-v1-noragami-stray-god
noragami-stray-god,mysteryReveal,known,2,0.90,blind-replacement-v1-noragami-stray-god
noragami-stray-god,worldBuilding,known,3,0.90,blind-replacement-v1-noragami-stray-god
noragami-stray-god,characterArcWeight,known,3,0.90,blind-replacement-v1-noragami-stray-god
noragami-stray-god,relationshipStructure,known,2,0.90,blind-replacement-v1-noragami-stray-god
noragami-stray-god,comedy,known,3,0.90,blind-replacement-v1-noragami-stray-god
noragami-stray-god,darkness,known,2,0.90,blind-replacement-v1-noragami-stray-god
noragami-stray-god,mentalStress,known,2,0.90,blind-replacement-v1-noragami-stray-god
noragami-stray-god,romance,known,1,0.85,blind-replacement-v1-noragami-stray-god
noragami-stray-god,emotionalWarmth,known,2,0.90,blind-replacement-v1-noragami-stray-god
penguin-and-house,progression,known,0,0.95,blind-replacement-v1-penguin-and-house
penguin-and-house,problemSolving,known,1,0.85,blind-replacement-v1-penguin-and-house
penguin-and-house,strategy,known,0,0.95,blind-replacement-v1-penguin-and-house
penguin-and-house,pacing,known,0,0.95,blind-replacement-v1-penguin-and-house
penguin-and-house,mysteryReveal,known,0,0.95,blind-replacement-v1-penguin-and-house
penguin-and-house,worldBuilding,known,0,0.95,blind-replacement-v1-penguin-and-house
penguin-and-house,characterArcWeight,known,1,0.90,blind-replacement-v1-penguin-and-house
penguin-and-house,relationshipStructure,known,1,0.90,blind-replacement-v1-penguin-and-house
penguin-and-house,comedy,known,3,0.95,blind-replacement-v1-penguin-and-house
penguin-and-house,darkness,known,0,0.95,blind-replacement-v1-penguin-and-house
penguin-and-house,mentalStress,known,0,0.95,blind-replacement-v1-penguin-and-house
penguin-and-house,romance,known,0,0.95,blind-replacement-v1-penguin-and-house
penguin-and-house,emotionalWarmth,known,4,0.95,blind-replacement-v1-penguin-and-house
sheetas-little-big-world,progression,known,1,0.85,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,problemSolving,known,2,0.90,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,strategy,known,1,0.85,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,pacing,known,2,0.90,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,mysteryReveal,known,1,0.85,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,worldBuilding,known,3,0.90,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,characterArcWeight,known,2,0.90,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,relationshipStructure,known,2,0.90,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,comedy,known,2,0.90,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,darkness,known,1,0.90,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,mentalStress,known,1,0.90,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,romance,known,0,0.95,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,emotionalWarmth,known,4,0.90,blind-replacement-v1-sheetas-little-big-world
the-seven-deadly-sins,progression,known,2,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,problemSolving,known,1,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,strategy,known,1,0.85,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,pacing,known,3,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,mysteryReveal,known,2,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,worldBuilding,known,3,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,characterArcWeight,known,2,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,relationshipStructure,known,2,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,comedy,known,3,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,darkness,known,2,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,mentalStress,known,1,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,romance,known,2,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,emotionalWarmth,known,2,0.90,blind-replacement-v1-the-seven-deadly-sins
tokyo-revengers,progression,known,2,0.90,blind-replacement-v1-tokyo-revengers
tokyo-revengers,problemSolving,known,3,0.90,blind-replacement-v1-tokyo-revengers
tokyo-revengers,strategy,known,2,0.90,blind-replacement-v1-tokyo-revengers
tokyo-revengers,pacing,known,4,0.95,blind-replacement-v1-tokyo-revengers
tokyo-revengers,mysteryReveal,known,3,0.90,blind-replacement-v1-tokyo-revengers
tokyo-revengers,worldBuilding,known,2,0.90,blind-replacement-v1-tokyo-revengers
tokyo-revengers,characterArcWeight,known,4,0.95,blind-replacement-v1-tokyo-revengers
tokyo-revengers,relationshipStructure,known,3,0.90,blind-replacement-v1-tokyo-revengers
tokyo-revengers,comedy,known,1,0.90,blind-replacement-v1-tokyo-revengers
tokyo-revengers,darkness,known,3,0.95,blind-replacement-v1-tokyo-revengers
tokyo-revengers,mentalStress,known,4,0.95,blind-replacement-v1-tokyo-revengers
tokyo-revengers,romance,known,2,0.90,blind-replacement-v1-tokyo-revengers
tokyo-revengers,emotionalWarmth,known,2,0.90,blind-replacement-v1-tokyo-revengers
