workId,themeId,centrality,confidence,evidenceId
beyond-the-clouds,adventure,2,0.85,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,crafting,1,0.85,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,foundFamily,1,0.85,blind-replacement-v1-beyond-the-clouds
beyond-the-clouds,exploration,1,0.85,blind-replacement-v1-beyond-the-clouds
chis-sweet-adventures,foundFamily,2,0.90,blind-replacement-v1-chis-sweet-adventures
fairy-tail,adventure,2,0.90,blind-replacement-v1-fairy-tail
fairy-tail,combat,2,0.90,blind-replacement-v1-fairy-tail
fairy-tail,foundFamily,2,0.90,blind-replacement-v1-fairy-tail
fire-force,combat,2,0.90,blind-replacement-v1-fire-force
fire-force,investigation,2,0.90,blind-replacement-v1-fire-force
fire-force,workplace,2,0.85,blind-replacement-v1-fire-force
fire-force,foundFamily,1,0.85,blind-replacement-v1-fire-force
lovely-muco,workplace,1,0.85,blind-replacement-v1-lovely-muco
lovely-muco,foundFamily,1,0.85,blind-replacement-v1-lovely-muco
noragami-stray-god,combat,2,0.90,blind-replacement-v1-noragami-stray-god
noragami-stray-god,investigation,1,0.85,blind-replacement-v1-noragami-stray-god
noragami-stray-god,foundFamily,2,0.90,blind-replacement-v1-noragami-stray-god
penguin-and-house,cooking,1,0.85,blind-replacement-v1-penguin-and-house
penguin-and-house,foundFamily,2,0.90,blind-replacement-v1-penguin-and-house
sheetas-little-big-world,adventure,2,0.90,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,foundFamily,1,0.85,blind-replacement-v1-sheetas-little-big-world
sheetas-little-big-world,exploration,2,0.90,blind-replacement-v1-sheetas-little-big-world
the-seven-deadly-sins,adventure,2,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,combat,2,0.90,blind-replacement-v1-the-seven-deadly-sins
the-seven-deadly-sins,foundFamily,2,0.90,blind-replacement-v1-the-seven-deadly-sins
tokyo-revengers,combat,2,0.90,blind-replacement-v1-tokyo-revengers
tokyo-revengers,investigation,2,0.85,blind-replacement-v1-tokyo-revengers
tokyo-revengers,revenge,1,0.85,blind-replacement-v1-tokyo-revengers
tokyo-revengers,timeTravel,2,0.90,blind-replacement-v1-tokyo-revengers
tokyo-revengers,school,2,0.85,blind-replacement-v1-tokyo-revengers
