workId,themeId,centrality,confidence,evidenceId
beyond-the-clouds,adventure,2,0.95,blind-replacement-v1c-beyond-the-clouds
beyond-the-clouds,crafting,1,0.90,blind-replacement-v1c-beyond-the-clouds
beyond-the-clouds,foundFamily,1,0.90,blind-replacement-v1c-beyond-the-clouds
beyond-the-clouds,exploration,1,0.85,blind-replacement-v1c-beyond-the-clouds
fairy-tail,adventure,2,0.95,blind-replacement-v1c-fairy-tail
fairy-tail,combat,2,0.95,blind-replacement-v1c-fairy-tail
fairy-tail,foundFamily,2,0.95,blind-replacement-v1c-fairy-tail
fire-force,combat,2,0.95,blind-replacement-v1c-fire-force
fire-force,investigation,2,0.90,blind-replacement-v1c-fire-force
fire-force,foundFamily,1,0.85,blind-replacement-v1c-fire-force
lovely-muco,crafting,1,0.85,blind-replacement-v1c-lovely-muco
lovely-muco,workplace,1,0.85,blind-replacement-v1c-lovely-muco
lovely-muco,foundFamily,2,0.90,blind-replacement-v1c-lovely-muco
noragami-stray-god,combat,2,0.95,blind-replacement-v1c-noragami-stray-god
noragami-stray-god,investigation,1,0.85,blind-replacement-v1c-noragami-stray-god
noragami-stray-god,foundFamily,2,0.90,blind-replacement-v1c-noragami-stray-god
sheetas-little-big-world,adventure,1,0.90,blind-replacement-v1c-sheetas-little-big-world
sheetas-little-big-world,foundFamily,1,0.85,blind-replacement-v1c-sheetas-little-big-world
sheetas-little-big-world,exploration,2,0.90,blind-replacement-v1c-sheetas-little-big-world
the-seven-deadly-sins,adventure,2,0.95,blind-replacement-v1c-the-seven-deadly-sins
the-seven-deadly-sins,combat,2,0.95,blind-replacement-v1c-the-seven-deadly-sins
the-seven-deadly-sins,foundFamily,1,0.90,blind-replacement-v1c-the-seven-deadly-sins
tokyo-revengers,combat,2,0.95,blind-replacement-v1c-tokyo-revengers
tokyo-revengers,investigation,1,0.85,blind-replacement-v1c-tokyo-revengers
tokyo-revengers,timeTravel,2,0.95,blind-replacement-v1c-tokyo-revengers
tokyo-revengers,school,1,0.85,blind-replacement-v1c-tokyo-revengers
tokyo-revengers,foundFamily,1,0.85,blind-replacement-v1c-tokyo-revengers
