workId,themeId,centrality,confidence,evidenceId
dungeon-meshi,adventure,2,0.95,ev-dungeon-meshi
dungeon-meshi,combat,2,0.90,ev-dungeon-meshi
dungeon-meshi,survival,2,0.96,ev-dungeon-meshi
dungeon-meshi,dungeon,2,0.99,ev-dungeon-meshi
dungeon-meshi,cooking,2,0.99,ev-dungeon-meshi
dungeon-meshi,exploration,2,0.94,ev-dungeon-meshi
kingdom,adventure,2,0.92,ev-kingdom
kingdom,combat,2,0.98,ev-kingdom
kingdom,martialArts,1,0.84,ev-kingdom
kingdom,war,2,0.98,ev-kingdom
kingdom,politics,2,0.96,ev-kingdom
kingdom,revenge,1,0.84,ev-kingdom
kingdom,historicalReconstruction,2,0.98,ev-kingdom
fullmetal-alchemist,adventure,2,0.96,ev-fullmetal-alchemist
fullmetal-alchemist,combat,2,0.96,ev-fullmetal-alchemist
fullmetal-alchemist,investigation,2,0.96,ev-fullmetal-alchemist
fullmetal-alchemist,crafting,2,0.90,ev-fullmetal-alchemist
fullmetal-alchemist,revenge,1,0.86,ev-fullmetal-alchemist
death-note,investigation,2,0.99,ev-death-note
death-note,school,1,0.86,ev-death-note
spy-family,combat,1,0.88,ev-spy-family
spy-family,politics,1,0.86,ev-spy-family
spy-family,investigation,2,0.95,ev-spy-family
spy-family,school,2,0.97,ev-spy-family
spy-family,foundFamily,2,0.97,ev-spy-family
frieren,adventure,2,0.98,ev-frieren
frieren,combat,1,0.88,ev-frieren
frieren,foundFamily,2,0.90,ev-frieren
frieren,exploration,2,0.95,ev-frieren
chainsaw-man,combat,2,0.99,ev-chainsaw-man
chainsaw-man,survival,2,0.95,ev-chainsaw-man
chainsaw-man,workplace,2,0.96,ev-chainsaw-man
chainsaw-man,revenge,1,0.86,ev-chainsaw-man
chainsaw-man,foundFamily,1,0.82,ev-chainsaw-man
blue-lock,survival,2,0.97,ev-blue-lock
blue-lock,tournament,2,0.99,ev-blue-lock
blue-lock,sportsCompetition,2,0.99,ev-blue-lock
monster,investigation,2,0.99,ev-monster
monster,workplace,1,0.89,ev-monster
monster,historicalReconstruction,1,0.91,ev-monster
yotsuba-to,exploration,2,0.98,ev-yotsuba-to
yotsuba-to,foundFamily,2,0.85,ev-yotsuba-to
blame,adventure,2,0.96,ev-blame
blame,combat,2,0.97,ev-blame
blame,survival,2,0.88,ev-blame
blame,postApocalypse,2,0.91,ev-blame
blame,exploration,2,0.99,ev-blame
