workId,alias
medalist,Medalist
chihayafuru,Chihayafuru
that-time-i-got-reincarnated-as-a-slime,That Time I Got Reincarnated as a Slime
welcome-to-the-ballroom,Welcome to the Ballroom
a-sign-of-affection,A Sign of Affection
heavenly-delusion,Heavenly Delusion
ajin,Ajin: Demi-Human
historie,Historie
what-did-you-eat-yesterday,What Did You Eat Yesterday?
the-full-time-wife-escapist,The Full-Time Wife Escapist
dance-dance-danseur,Dance Dance Danseur
chi-on-the-movements-of-the-earth,Orb: On the Movements of the Earth
mystery-to-iu-nakare,Don't Call It Mystery
aoashi,Ao Ashi
blood-on-the-tracks,Blood on the Tracks
7seeds,7SEEDS
mieruko-chan,Mieruko-chan
the-summer-hikaru-died,The Summer Hikaru Died
my-love-story-with-yamada-kun-at-lv999,My Love Story with Yamada-kun at Lv999
metamorphose-no-engawa,BL Metamorphosis
real,Real
summer-time-rendering,Summer Time Rendering
kowloon-generic-romance,Kowloon Generic Romance
my-happy-marriage,My Happy Marriage
my-next-life-as-a-villainess,My Next Life as a Villainess: All Routes Lead to Doom!
how-a-realist-hero-rebuilt-the-kingdom,How a Realist Hero Rebuilt the Kingdom
boys-run-the-riot,Boys Run the Riot
blue-box,Blue Box
the-darwin-incident,The Darwin Incident
requiem-of-the-rose-king,Requiem of the Rose King
i-think-our-son-is-gay,I Think Our Son Is Gay
