workId,axisId,state,value,confidence,authorityClass,sourceType,sourceUrl,edition,scopeMapping,pageOrTimeRefs,sampleCount,contexts,observation,limitation,reviewStatus
medalist,artRealism,known,2,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000344550/trial,standard Volume 1; ISBN 9784065207833; released 2020-09-23,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,workplace and stairwell encounters; figure-skating performance and career exposition,Conventional manga stylization and stable functional anatomy recur across the cited pages.,Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
medalist,artDensity,known,3,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000344550/trial,standard Volume 1; ISBN 9784065207833; released 2020-09-23,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,workplace and stairwell encounters; figure-skating performance and career exposition,"Layered backgrounds, tones, and object detail produce above-balanced density; lettering was excluded.",Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
medalist,visualSoftness,known,3,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000344550/trial,standard Volume 1; ISBN 9784065207833; released 2020-09-23,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,workplace and stairwell encounters; figure-skating performance and career exposition,Soft curves and polished tonal treatment recur across the cited pages.,Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
medalist,motionImpact,unknown,,,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000344550/trial,standard Volume 1; ISBN 9784065207833; released 2020-09-23,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,workplace and stairwell encounters; figure-skating performance and career exposition,No supported value was inferred for this axis from the cited sample.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
chihayafuru,artRealism,known,2,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000031259/trial,standard Volume 1; ISBN 9784063192391; released 2008-05-13,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,karuta match venue; school and city conversation,Conventional manga stylization and stable functional anatomy recur across the cited pages.,Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
chihayafuru,artDensity,known,2,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000031259/trial,standard Volume 1; ISBN 9784063192391; released 2008-05-13,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,karuta match venue; school and city conversation,Background detail and whitespace are balanced; lettering was excluded.,Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
chihayafuru,visualSoftness,known,3,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000031259/trial,standard Volume 1; ISBN 9784063192391; released 2008-05-13,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,karuta match venue; school and city conversation,Soft curves and polished tonal treatment recur across the cited pages.,Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
chihayafuru,motionImpact,unknown,,,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000031259/trial,standard Volume 1; ISBN 9784063192391; released 2008-05-13,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,karuta match venue; school and city conversation,No supported value was inferred for this axis from the cited sample.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
that-time-i-got-reincarnated-as-a-slime,artRealism,known,2,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000045267/trial,standard Volume 1; ISBN 9784063765786; released 2015-10-30,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,city-street stabbing and deathbed; pre-reincarnation life narration,Conventional manga stylization and stable functional anatomy recur across the cited pages.,Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
that-time-i-got-reincarnated-as-a-slime,artDensity,known,2,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000045267/trial,standard Volume 1; ISBN 9784063765786; released 2015-10-30,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,city-street stabbing and deathbed; pre-reincarnation life narration,Background detail and whitespace are balanced; lettering was excluded.,Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
that-time-i-got-reincarnated-as-a-slime,visualSoftness,known,2,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000045267/trial,standard Volume 1; ISBN 9784063765786; released 2015-10-30,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,city-street stabbing and deathbed; pre-reincarnation life narration,Hard and soft treatments remain balanced across the cited pages.,Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
that-time-i-got-reincarnated-as-a-slime,motionImpact,unknown,,,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000045267/trial,standard Volume 1; ISBN 9784063765786; released 2015-10-30,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,city-street stabbing and deathbed; pre-reincarnation life narration,No supported value was inferred for this axis from the cited sample.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
welcome-to-the-ballroom,artRealism,known,3,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000043342/trial,standard Volume 1; ISBN 9784063713299; released 2012-05-17,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,dance performance; school and studio conversation,"Comparatively realistic anatomy, objects, and spatial perspective recur across the cited pages.",Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
welcome-to-the-ballroom,artDensity,known,3,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000043342/trial,standard Volume 1; ISBN 9784063713299; released 2012-05-17,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,dance performance; school and studio conversation,"Layered backgrounds, tones, and object detail produce above-balanced density; lettering was excluded.",Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
welcome-to-the-ballroom,visualSoftness,known,2,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000043342/trial,standard Volume 1; ISBN 9784063713299; released 2012-05-17,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,dance performance; school and studio conversation,Hard and soft treatments remain balanced across the cited pages.,Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
welcome-to-the-ballroom,motionImpact,unknown,,,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000043342/trial,standard Volume 1; ISBN 9784063713299; released 2012-05-17,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p6; Kodansha reader p7; Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11,6,dance performance; school and studio conversation,No supported value was inferred for this axis from the cited sample.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
a-sign-of-affection,artRealism,known,2,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000327361/trial,standard Volume 1; ISBN 9784065180624; released 2019-12-13,The official Volume 1 or first chapter is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader p8; Kodansha reader p9; Kodansha reader p10; Kodansha reader p11; Kodansha reader p12; Kodansha reader p13,6,city and train encounter; train ride and sign-language conversation,Conventional manga stylization and stable functional anatomy recur across the cited pages.,Six distinct official interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
