workId,axisId,state,value,confidence,evidenceId
medalist,progression,known,4,0.82,ev-g2-fresh-a-annotation-medalist
medalist,problemSolving,known,2,0.82,ev-g2-fresh-a-annotation-medalist
medalist,strategy,known,2,0.82,ev-g2-fresh-a-annotation-medalist
medalist,pacing,known,3,0.82,ev-g2-fresh-a-annotation-medalist
medalist,mysteryReveal,known,0,0.82,ev-g2-fresh-a-annotation-medalist
medalist,worldBuilding,known,2,0.82,ev-g2-fresh-a-annotation-medalist
medalist,characterArcWeight,known,4,0.82,ev-g2-fresh-a-annotation-medalist
medalist,relationshipStructure,known,2,0.82,ev-g2-fresh-a-annotation-medalist
medalist,comedy,known,2,0.82,ev-g2-fresh-a-annotation-medalist
medalist,darkness,known,1,0.82,ev-g2-fresh-a-annotation-medalist
medalist,mentalStress,known,3,0.82,ev-g2-fresh-a-annotation-medalist
medalist,romance,known,0,0.82,ev-g2-fresh-a-annotation-medalist
medalist,emotionalWarmth,known,4,0.82,ev-g2-fresh-a-annotation-medalist
medalist,artRealism,known,2,0.86,ev-g2-fresh-a-art-medalist
medalist,artDensity,known,3,0.86,ev-g2-fresh-a-art-medalist
medalist,visualSoftness,known,3,0.86,ev-g2-fresh-a-art-medalist
medalist,motionImpact,unknown,,,ev-g2-fresh-a-art-medalist
chihayafuru,progression,known,4,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,problemSolving,known,2,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,strategy,known,2,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,pacing,known,3,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,mysteryReveal,known,0,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,worldBuilding,known,3,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,characterArcWeight,known,4,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,relationshipStructure,known,3,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,comedy,known,2,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,darkness,known,1,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,mentalStress,known,2,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,romance,known,2,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,emotionalWarmth,known,3,0.82,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,artRealism,known,2,0.86,ev-g2-fresh-a-art-chihayafuru
