workId,catalogRole,seriesGroupId,volumeCount,reviewAverage,reviewCount
medalist,anchor,,15,,
chihayafuru,anchor,,50,,
that-time-i-got-reincarnated-as-a-slime,anchor,,32,,
welcome-to-the-ballroom,bridge,,12,,
a-sign-of-affection,bridge,,14,,
heavenly-delusion,bridge,,13,,
ajin,discovery,,17,,
historie,discovery,,12,,
what-did-you-eat-yesterday,discovery,,25,,
the-full-time-wife-escapist,discovery,,11,,
dance-dance-danseur,discovery,,32,,
chi-on-the-movements-of-the-earth,discovery,,8,,
mystery-to-iu-nakare,discovery,,16,,
aoashi,discovery,,40,,
blood-on-the-tracks,discovery,,17,,
7seeds,discovery,,35,,
mieruko-chan,discovery,,14,,
the-summer-hikaru-died,discovery,,9,,
my-love-story-with-yamada-kun-at-lv999,discovery,,10,,
metamorphose-no-engawa,discovery,,5,,
real,discovery,,17,,
summer-time-rendering,discovery,,13,,
kowloon-generic-romance,discovery,,12,,
my-happy-marriage,discovery,,6,,
my-next-life-as-a-villainess,discovery,,13,,
how-a-realist-hero-rebuilt-the-kingdom,discovery,,14,,
boys-run-the-riot,discovery,,4,,
blue-box,discovery,,26,,
the-darwin-incident,discovery,,11,,
requiem-of-the-rose-king,discovery,,17,,
i-think-our-son-is-gay,discovery,,5,,
