workId,themeId,centrality,confidence,evidenceId
medalist,sportsCompetition,2,0.84,ev-g2-fresh-a-annotation-medalist
medalist,tournament,2,0.84,ev-g2-fresh-a-annotation-medalist
medalist,school,1,0.84,ev-g2-fresh-a-annotation-medalist
chihayafuru,sportsCompetition,2,0.84,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,tournament,2,0.84,ev-g2-fresh-a-annotation-chihayafuru
chihayafuru,school,2,0.84,ev-g2-fresh-a-annotation-chihayafuru
that-time-i-got-reincarnated-as-a-slime,reincarnation,2,0.84,ev-g2-fresh-a-annotation-that-time-i-got-reincarnated-as-a-slime
that-time-i-got-reincarnated-as-a-slime,territoryManagement,2,0.84,ev-g2-fresh-a-annotation-that-time-i-got-reincarnated-as-a-slime
that-time-i-got-reincarnated-as-a-slime,adventure,2,0.84,ev-g2-fresh-a-annotation-that-time-i-got-reincarnated-as-a-slime
that-time-i-got-reincarnated-as-a-slime,combat,2,0.84,ev-g2-fresh-a-annotation-that-time-i-got-reincarnated-as-a-slime
that-time-i-got-reincarnated-as-a-slime,foundFamily,2,0.84,ev-g2-fresh-a-annotation-that-time-i-got-reincarnated-as-a-slime
that-time-i-got-reincarnated-as-a-slime,politics,1,0.84,ev-g2-fresh-a-annotation-that-time-i-got-reincarnated-as-a-slime
welcome-to-the-ballroom,sportsCompetition,2,0.84,ev-g2-fresh-a-annotation-welcome-to-the-ballroom
welcome-to-the-ballroom,tournament,2,0.84,ev-g2-fresh-a-annotation-welcome-to-the-ballroom
welcome-to-the-ballroom,school,1,0.84,ev-g2-fresh-a-annotation-welcome-to-the-ballroom
a-sign-of-affection,school,2,0.84,ev-g2-fresh-a-annotation-a-sign-of-affection
a-sign-of-affection,workplace,1,0.84,ev-g2-fresh-a-annotation-a-sign-of-affection
heavenly-delusion,postApocalypse,2,0.84,ev-g2-fresh-a-annotation-heavenly-delusion
heavenly-delusion,exploration,2,0.84,ev-g2-fresh-a-annotation-heavenly-delusion
heavenly-delusion,survival,2,0.84,ev-g2-fresh-a-annotation-heavenly-delusion
heavenly-delusion,investigation,2,0.84,ev-g2-fresh-a-annotation-heavenly-delusion
