id,workId,volumeNumber,isbn,releaseDate,editionKind,isRepresentative,evidenceId
medalist-v1,medalist,1,9784065207833,2020-09-23,standard,true,ev-g2-fresh-a-bib-medalist
chihayafuru-v1,chihayafuru,1,9784063192391,2008-05-13,standard,true,ev-g2-fresh-a-bib-chihayafuru
that-time-i-got-reincarnated-as-a-slime-v1,that-time-i-got-reincarnated-as-a-slime,1,9784063765786,2015-10-30,standard,true,ev-g2-fresh-a-bib-that-time-i-got-reincarnated-as-a-slime
welcome-to-the-ballroom-v1,welcome-to-the-ballroom,1,9784063713299,2012-05-17,standard,true,ev-g2-fresh-a-bib-welcome-to-the-ballroom
a-sign-of-affection-v1,a-sign-of-affection,1,9784065180624,2019-12-13,standard,true,ev-g2-fresh-a-bib-a-sign-of-affection
heavenly-delusion-v1,heavenly-delusion,1,9784065119761,2018-07-23,standard,true,ev-g2-fresh-a-bib-heavenly-delusion
ajin-v1,ajin,1,9784063878684,2013-03-07,standard,true,ev-g2-fresh-a-bib-ajin
historie-v1,historie,1,9784063143584,2004-10-21,standard,true,ev-g2-fresh-a-bib-historie
what-did-you-eat-yesterday-v1,what-did-you-eat-yesterday,1,9784063726480,2007-11-22,standard,true,ev-g2-fresh-a-bib-what-did-you-eat-yesterday
the-full-time-wife-escapist-v1,the-full-time-wife-escapist,1,9784063409116,2013-06-13,standard,true,ev-g2-fresh-a-bib-the-full-time-wife-escapist
dance-dance-danseur-v1,dance-dance-danseur,1,9784091874498,2016-02-12,standard,true,ev-g2-fresh-a-bib-dance-dance-danseur
chi-on-the-movements-of-the-earth-v1,chi-on-the-movements-of-the-earth,1,9784098607785,2020-12-11,standard,true,ev-g2-fresh-a-bib-chi-on-the-movements-of-the-earth
mystery-to-iu-nakare-v1,mystery-to-iu-nakare,1,9784098700295,2018-01-10,standard,true,ev-g2-fresh-a-bib-mystery-to-iu-nakare
aoashi-v1,aoashi,1,9784091868923,2015-04-30,standard,true,ev-g2-fresh-a-bib-aoashi
blood-on-the-tracks-v1,blood-on-the-tracks,1,9784091896230,2017-09-08,standard,true,ev-g2-fresh-a-bib-blood-on-the-tracks
7seeds-v1,7seeds,1,9784091380135,2002-03-26,standard,true,ev-g2-fresh-a-bib-7seeds
mieruko-chan-v1,mieruko-chan,1,9784040656588,2019-04-22,standard,true,ev-g2-fresh-a-bib-mieruko-chan
the-summer-hikaru-died-v1,the-summer-hikaru-died,1,9784041122730,2022-03-04,standard,true,ev-g2-fresh-a-bib-the-summer-hikaru-died
my-love-story-with-yamada-kun-at-lv999-v1,my-love-story-with-yamada-kun-at-lv999,1,9784040645209,2020-02-21,standard,true,ev-g2-fresh-a-bib-my-love-story-with-yamada-kun-at-lv999
metamorphose-no-engawa-v1,metamorphose-no-engawa,1,9784041068304,2018-05-08,standard,true,ev-g2-fresh-a-bib-metamorphose-no-engawa
real-v1,real,1,9784088761435,2001-03-19,standard,true,ev-g2-fresh-a-bib-real
summer-time-rendering-v1,summer-time-rendering,1,9784088813394,2018-02-02,standard,true,ev-g2-fresh-a-bib-summer-time-rendering
kowloon-generic-romance-v1,kowloon-generic-romance,1,9784088914886,2020-02-19,standard,true,ev-g2-fresh-a-bib-kowloon-generic-romance
my-happy-marriage-v1,my-happy-marriage,1,9784757562936,2019-09-12,standard,true,ev-g2-fresh-a-bib-my-happy-marriage
my-next-life-as-a-villainess-v1,my-next-life-as-a-villainess,1,9784758033381,2018-03-24,standard,true,ev-g2-fresh-a-bib-my-next-life-as-a-villainess
how-a-realist-hero-rebuilt-the-kingdom-v1,how-a-realist-hero-rebuilt-the-kingdom,1,9784865543216,2018-02-25,standard,true,ev-g2-fresh-a-bib-how-a-realist-hero-rebuilt-the-kingdom
boys-run-the-riot-v1,boys-run-the-riot,1,9784065199961,2020-07-06,standard,true,ev-g2-fresh-a-bib-boys-run-the-riot
blue-box-v1,blue-box,1,9784088827315,2021-08-04,standard,true,ev-g2-fresh-a-bib-blue-box
the-darwin-incident-v1,the-darwin-incident,1,9784065213988,2020-11-20,standard,true,ev-g2-fresh-a-bib-the-darwin-incident
requiem-of-the-rose-king-v1,requiem-of-the-rose-king,1,9784253271813,2014-03-14,standard,true,ev-g2-fresh-a-bib-requiem-of-the-rose-king
i-think-our-son-is-gay-v1,i-think-our-son-is-gay,1,9784757562332,2019-08-22,standard,true,ev-g2-fresh-a-bib-i-think-our-son-is-gay
