id,title,titleKana,creators,publisher,demographic,status,firstPublishedYear,genres,factorScope,onboardingEligible,recommendationEligible,libraryOnly,metadataConfidence,groupingConfidence,sourceAgreement,annotationReviewMethod,annotationReviewedAt,annotationReviewReference,evidenceId
medalist,メダリスト,,つるまいかだ,講談社,seinen,ongoing,2020,sports,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-medalist
chihayafuru,ちはやふる,,末次由紀,講談社,josei,completed,2007,sports;romance;sliceOfLife,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-chihayafuru
that-time-i-got-reincarnated-as-a-slime,転生したらスライムだった件,,川上泰樹;伏瀬;みっつばー,講談社,shonen,ongoing,2015,action;fantasy;comedy,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-that-time-i-got-reincarnated-as-a-slime
welcome-to-the-ballroom,ボールルームへようこそ,,竹内友,講談社,shonen,ongoing,2011,sports,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-welcome-to-the-ballroom
a-sign-of-affection,ゆびさきと恋々,,森下suu,講談社,shojo,ongoing,2019,romance;sliceOfLife,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-a-sign-of-affection
heavenly-delusion,天国大魔境,,石黒正数,講談社,seinen,ongoing,2018,scienceFiction;mystery;horror,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-heavenly-delusion
ajin,亜人,,三浦追儺;桜井画門,講談社,seinen,completed,2012,action;scienceFiction;horror,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-ajin
historie,ヒストリエ,,岩明均,講談社,seinen,ongoing,2003,action;historical,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-historie
what-did-you-eat-yesterday,きのう何食べた？,,よしながふみ,講談社,seinen,ongoing,2007,comedy;sliceOfLife;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-what-did-you-eat-yesterday
the-full-time-wife-escapist,逃げるは恥だが役に立つ,,海野つなみ,講談社,josei,completed,2012,comedy;sliceOfLife;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-the-full-time-wife-escapist
dance-dance-danseur,ダンス・ダンス・ダンスール,,ジョージ朝倉,小学館,seinen,ongoing,2015,sports;sliceOfLife,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-dance-dance-danseur
chi-on-the-movements-of-the-earth,チ。―地球の運動について―,,魚豊,小学館,seinen,completed,2020,historical,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-chi-on-the-movements-of-the-earth
mystery-to-iu-nakare,ミステリと言う勿れ,,田村由美,小学館,josei,ongoing,2017,mystery,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-mystery-to-iu-nakare
aoashi,アオアシ,,小林有吾;上野直彦,小学館,seinen,completed,2015,sports,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-aoashi
blood-on-the-tracks,血の轍,,押見修造,小学館,seinen,completed,2017,horror;sliceOfLife,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-blood-on-the-tracks
7seeds,7SEEDS,,田村由美,小学館,shojo,completed,2001,action;scienceFiction;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-7seeds
mieruko-chan,見える子ちゃん,,泉朝樹,KADOKAWA,unknown,ongoing,2018,comedy;horror;sliceOfLife,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-mieruko-chan
the-summer-hikaru-died,光が死んだ夏,,モクモクれん,KADOKAWA,seinen,ongoing,2021,mystery;horror,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-the-summer-hikaru-died
my-love-story-with-yamada-kun-at-lv999,山田くんとLv999の恋をする,,ましろ,KADOKAWA,general,ongoing,2019,comedy;sliceOfLife;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-my-love-story-with-yamada-kun-at-lv999
metamorphose-no-engawa,メタモルフォーゼの縁側,,鶴谷香央理,KADOKAWA,general,completed,2017,sliceOfLife,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-metamorphose-no-engawa
real,リアル,,井上雄彦,集英社,seinen,ongoing,1999,sports;sliceOfLife,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-real
summer-time-rendering,サマータイムレンダ,,田中靖規,集英社,shonen,completed,2017,action;scienceFiction;mystery;horror,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-summer-time-rendering
kowloon-generic-romance,九龍ジェネリックロマンス,,眉月じゅん,集英社,seinen,ongoing,2019,scienceFiction;mystery;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-kowloon-generic-romance
my-happy-marriage,わたしの幸せな結婚,,顎木あくみ;高坂りと;月岡月穂,スクウェア・エニックス,general,ongoing,2018,fantasy;historical;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-my-happy-marriage
my-next-life-as-a-villainess,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,,ひだかなみ;山口悟,一迅社,josei,ongoing,2017,fantasy;comedy;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-my-next-life-as-a-villainess
how-a-realist-hero-rebuilt-the-kingdom,現実主義勇者の王国再建記,,上田悟司;どぜう丸;冬ゆき,オーバーラップ,seinen,ongoing,2017,fantasy,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-how-a-realist-hero-rebuilt-the-kingdom
boys-run-the-riot,ボーイズ・ラン・ザ・ライオット,,学慶人,講談社,seinen,completed,2020,sliceOfLife,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-boys-run-the-riot
blue-box,アオのハコ,,三浦糀,集英社,shonen,ongoing,2021,sports;sliceOfLife;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-blue-box
the-darwin-incident,ダーウィン事変,,うめざわしゅん,講談社,seinen,ongoing,2020,action;scienceFiction,entry_1_3_volumes,false,false,true,0.98,0.99,0.95,unreviewed,,,ev-g2-fresh-a-bib-the-darwin-incident
