workId,alias
fruits-basket,Fruits Basket
inuyasha,InuYasha
space-brothers,Space Brothers
blue-giant,Blue Giant
blue-period,Blue Period
the-apothecary-diaries,The Apothecary Diaries
dorohedoro,Dorohedoro
sweat-and-soap,Sweat and Soap
a-condition-called-love,A Condition Called Love
she-loves-to-cook-and-she-loves-to-eat,"She Loves to Cook, and She Loves to Eat"
my-brothers-husband,My Brother's Husband
our-dreams-at-dusk,Our Dreams at Dusk
our-dreams-at-dusk,Shimanami Tasogare
nina-the-starry-bride,Nina the Starry Bride
baby-steps,Baby Steps
capeta,Capeta
yowamushi-pedal,Yowamushi Pedal
moon-land,Moon Land
giant-killing,Giant Killing
dragon-head,Dragon Head
kasane,Kasane
homunculus,Homunculus
fort-of-apocalypse,Fort of Apocalypse
a-brides-story,A Bride's Story
isabella-bird-in-wonderland,Isabella Bird in Wonderland
arte,Arte
thermae-romae,Thermae Romae
knights-of-sidonia,Knights of Sidonia
saturn-apartments,Saturn Apartments
origin,Origin
accomplishments-of-the-dukes-daughter,Accomplishments of the Duke's Daughter
the-heroic-legend-of-arslan,The Heroic Legend of Arslan
