workId,axisId,state,value,confidence,authorityClass,sourceType,sourceUrl,edition,scopeMapping,pageOrTimeRefs,sampleCount,contexts,observation,limitation,reviewStatus
fruits-basket,artRealism,known,1,0.86,publisherAuthorizedPlatform,manual,https://bookwalker.jp/de50cbd88f-80f8-447d-a968-2f7da4b1f0f9/?sample=1,standard Japanese Volume 1; ISBN 9784592171614,The observed official or licensed Japanese Volume 1 interior is within original volumes 1-3 and maps directly to entry_1_3_volumes.,BOOK WALKER reader page 5/50; BOOK WALKER reader page 9/50; BOOK WALKER reader page 13/50; BOOK WALKER reader page 17/50; BOOK WALKER reader page 21/50; BOOK WALKER reader page 25/50,6,family home and tent exterior; school corridor and classroom; forest night conversation,Strong stylization and simplified proportions dominate while actions remain readable.,At least six distinct official or licensed interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
fruits-basket,artDensity,known,2,0.86,publisherAuthorizedPlatform,manual,https://bookwalker.jp/de50cbd88f-80f8-447d-a968-2f7da4b1f0f9/?sample=1,standard Japanese Volume 1; ISBN 9784592171614,The observed official or licensed Japanese Volume 1 interior is within original volumes 1-3 and maps directly to entry_1_3_volumes.,BOOK WALKER reader page 5/50; BOOK WALKER reader page 9/50; BOOK WALKER reader page 13/50; BOOK WALKER reader page 17/50; BOOK WALKER reader page 21/50; BOOK WALKER reader page 25/50,6,family home and tent exterior; school corridor and classroom; forest night conversation,Readable setting detail and white space are balanced across the cited pages; lettering was excluded.,At least six distinct official or licensed interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
fruits-basket,visualSoftness,known,4,0.86,publisherAuthorizedPlatform,manual,https://bookwalker.jp/de50cbd88f-80f8-447d-a968-2f7da4b1f0f9/?sample=1,standard Japanese Volume 1; ISBN 9784592171614,The observed official or licensed Japanese Volume 1 interior is within original volumes 1-3 and maps directly to entry_1_3_volumes.,BOOK WALKER reader page 5/50; BOOK WALKER reader page 9/50; BOOK WALKER reader page 13/50; BOOK WALKER reader page 17/50; BOOK WALKER reader page 21/50; BOOK WALKER reader page 25/50,6,family home and tent exterior; school corridor and classroom; forest night conversation,"Highly rounded forms, delicate linework, and airy tonal treatment create a very soft presentation.",At least six distinct official or licensed interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
fruits-basket,motionImpact,unknown,,,publisherAuthorizedPlatform,manual,https://bookwalker.jp/de50cbd88f-80f8-447d-a968-2f7da4b1f0f9/?sample=1,standard Japanese Volume 1; ISBN 9784592171614,The observed official or licensed Japanese Volume 1 interior is within original volumes 1-3 and maps directly to entry_1_3_volumes.,BOOK WALKER reader page 5/50; BOOK WALKER reader page 9/50; BOOK WALKER reader page 13/50; BOOK WALKER reader page 17/50; BOOK WALKER reader page 21/50; BOOK WALKER reader page 25/50,6,family home and tent exterior; school corridor and classroom; forest night conversation,The cited sample does not establish a sufficiently representative continuous physical-action sequence.,The inspected sample did not establish a representative continuous physical-action sequence across entry_1_3_volumes; no 0-4 value is assigned.,modelObservedPendingPanel
inuyasha,artRealism,known,2,0.86,originalPublisher,publisher,https://shogakukan-comic.jp/viewer-open?jdcn=091252010000d0000000&u1=https%3A%2F%2Fshogakukan-comic.jp%2Fbook%3Fjdcn%3D091252010000d0000000,standard Japanese Volume 1; ISBN 9784091252012,The observed official or licensed Japanese Volume 1 interior is within original volumes 1-3 and maps directly to entry_1_3_volumes.,printed page 26; printed page 27; printed page 28; printed page 29; printed page 30; printed page 31; printed page 32; printed page 33; printed page 34; printed page 35; printed page 36,11,village and shrine conversation; forest centipede attack; tree-bound awakening,Conventional manga stylization and functional anatomy recur across the cited pages.,At least six distinct official or licensed interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
inuyasha,artDensity,known,3,0.86,originalPublisher,publisher,https://shogakukan-comic.jp/viewer-open?jdcn=091252010000d0000000&u1=https%3A%2F%2Fshogakukan-comic.jp%2Fbook%3Fjdcn%3D091252010000d0000000,standard Japanese Volume 1; ISBN 9784091252012,The observed official or licensed Japanese Volume 1 interior is within original volumes 1-3 and maps directly to entry_1_3_volumes.,printed page 26; printed page 27; printed page 28; printed page 29; printed page 30; printed page 31; printed page 32; printed page 33; printed page 34; printed page 35; printed page 36,11,village and shrine conversation; forest centipede attack; tree-bound awakening,"Layered backgrounds, tones, and object detail produce above-balanced density; lettering was excluded.",At least six distinct official or licensed interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
inuyasha,visualSoftness,known,2,0.86,originalPublisher,publisher,https://shogakukan-comic.jp/viewer-open?jdcn=091252010000d0000000&u1=https%3A%2F%2Fshogakukan-comic.jp%2Fbook%3Fjdcn%3D091252010000d0000000,standard Japanese Volume 1; ISBN 9784091252012,The observed official or licensed Japanese Volume 1 interior is within original volumes 1-3 and maps directly to entry_1_3_volumes.,printed page 26; printed page 27; printed page 28; printed page 29; printed page 30; printed page 31; printed page 32; printed page 33; printed page 34; printed page 35; printed page 36,11,village and shrine conversation; forest centipede attack; tree-bound awakening,"Rounded and angular forms remain balanced, producing a neutral visual softness.",At least six distinct official or licensed interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
inuyasha,motionImpact,known,4,0.84,originalPublisher,publisher,https://shogakukan-comic.jp/viewer-open?jdcn=091252010000d0000000&u1=https%3A%2F%2Fshogakukan-comic.jp%2Fbook%3Fjdcn%3D091252010000d0000000,standard Japanese Volume 1; ISBN 9784091252012,The observed official or licensed Japanese Volume 1 interior is within original volumes 1-3 and maps directly to entry_1_3_volumes.,printed pages 31-36,6,village and shrine conversation; forest centipede attack; tree-bound awakening,"A directly observed continuous action sequence uses strong speed lines, abrupt framing, and high-impact body movement.",The cited continuous numbered sequence was directly inspected; panel approval and broader entry-range review remain pending.,modelObservedPendingPanel
space-brothers,artRealism,known,3,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000013802/trial,standard Japanese Volume 1; ISBN 9784063726749,The observed official or licensed Japanese Volume 1 interior is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader state after 2 left turns; Kodansha reader state after 4 left turns; Kodansha reader state after 6 left turns; Kodansha reader state after 8 left turns; Kodansha reader state after 10 left turns; Kodansha reader state after 12 left turns,6,childhood family and television; night field and UFO memory; adult design office and home,"Grounded anatomy, clothing, and settings outweigh comic deformation across the cited pages.",At least six distinct official or licensed interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
space-brothers,artDensity,known,3,0.86,originalPublisher,publisher,https://www.kodansha.co.jp/comic/products/0000013802/trial,standard Japanese Volume 1; ISBN 9784063726749,The observed official or licensed Japanese Volume 1 interior is within original volumes 1-3 and maps directly to entry_1_3_volumes.,Kodansha reader state after 2 left turns; Kodansha reader state after 4 left turns; Kodansha reader state after 6 left turns; Kodansha reader state after 8 left turns; Kodansha reader state after 10 left turns; Kodansha reader state after 12 left turns,6,childhood family and television; night field and UFO memory; adult design office and home,"Layered backgrounds, tones, and object detail produce above-balanced density; lettering was excluded.",At least six distinct official or licensed interior pages across at least two contexts were inspected; cover art and lettering were excluded; panel approval remains pending.,modelObservedPendingPanel
