workId,axisId,state,value,confidence,evidenceId
fruits-basket,progression,known,1,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,problemSolving,known,1,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,strategy,known,0,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,pacing,known,2,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,mysteryReveal,known,2,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,worldBuilding,known,3,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,characterArcWeight,known,4,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,relationshipStructure,known,4,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,comedy,known,3,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,darkness,known,2,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,mentalStress,known,3,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,romance,known,3,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,emotionalWarmth,known,4,0.82,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,artRealism,known,1,0.86,ev-g2-fresh-b-art-fruits-basket
fruits-basket,artDensity,known,2,0.86,ev-g2-fresh-b-art-fruits-basket
fruits-basket,visualSoftness,known,4,0.86,ev-g2-fresh-b-art-fruits-basket
fruits-basket,motionImpact,unknown,,,ev-g2-fresh-b-art-fruits-basket
inuyasha,progression,known,2,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,problemSolving,known,1,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,strategy,known,0,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,pacing,known,4,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,mysteryReveal,known,2,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,worldBuilding,known,3,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,characterArcWeight,known,2,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,relationshipStructure,known,2,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,comedy,known,2,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,darkness,known,2,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,mentalStress,known,1,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,romance,known,2,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,emotionalWarmth,known,2,0.82,ev-g2-fresh-b-annotation-inuyasha
inuyasha,artRealism,known,2,0.86,ev-g2-fresh-b-art-inuyasha
inuyasha,artDensity,known,3,0.86,ev-g2-fresh-b-art-inuyasha
inuyasha,visualSoftness,known,2,0.86,ev-g2-fresh-b-art-inuyasha
inuyasha,motionImpact,known,4,0.84,ev-g2-fresh-b-art-inuyasha
space-brothers,progression,known,4,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,problemSolving,known,3,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,strategy,known,2,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,pacing,known,2,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,mysteryReveal,known,0,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,worldBuilding,known,3,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,characterArcWeight,known,4,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,relationshipStructure,known,3,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,comedy,known,2,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,darkness,known,1,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,mentalStress,known,2,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,romance,known,0,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,emotionalWarmth,known,4,0.82,ev-g2-fresh-b-annotation-space-brothers
space-brothers,artRealism,known,3,0.86,ev-g2-fresh-b-art-space-brothers
space-brothers,artDensity,known,3,0.86,ev-g2-fresh-b-art-space-brothers
space-brothers,visualSoftness,known,2,0.86,ev-g2-fresh-b-art-space-brothers
space-brothers,motionImpact,unknown,,,ev-g2-fresh-b-art-space-brothers
blue-giant,progression,known,4,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,problemSolving,known,1,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,strategy,known,0,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,pacing,known,2,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,mysteryReveal,known,0,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,worldBuilding,known,2,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,characterArcWeight,known,4,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,relationshipStructure,known,2,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,comedy,known,1,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,darkness,known,0,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,mentalStress,known,2,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,romance,known,0,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,emotionalWarmth,known,3,0.82,ev-g2-fresh-b-annotation-blue-giant
blue-giant,artRealism,known,3,0.86,ev-g2-fresh-b-art-blue-giant
blue-giant,artDensity,known,3,0.86,ev-g2-fresh-b-art-blue-giant
blue-giant,visualSoftness,known,2,0.86,ev-g2-fresh-b-art-blue-giant
blue-giant,motionImpact,unknown,,,ev-g2-fresh-b-art-blue-giant
blue-period,progression,known,4,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,problemSolving,known,3,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,strategy,known,2,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,pacing,known,2,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,mysteryReveal,known,0,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,worldBuilding,known,3,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,characterArcWeight,known,4,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,relationshipStructure,known,3,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,comedy,known,1,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,darkness,known,1,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,mentalStress,known,4,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,romance,known,0,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,emotionalWarmth,known,2,0.82,ev-g2-fresh-b-annotation-blue-period
blue-period,artRealism,known,2,0.86,ev-g2-fresh-b-art-blue-period
blue-period,artDensity,known,3,0.86,ev-g2-fresh-b-art-blue-period
blue-period,visualSoftness,known,3,0.86,ev-g2-fresh-b-art-blue-period
blue-period,motionImpact,unknown,,,ev-g2-fresh-b-art-blue-period
the-apothecary-diaries,progression,known,1,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,problemSolving,known,4,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,strategy,known,3,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,pacing,known,3,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,mysteryReveal,known,4,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,worldBuilding,known,4,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,characterArcWeight,known,3,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,relationshipStructure,known,2,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,comedy,known,2,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,darkness,known,2,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,mentalStress,known,2,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,romance,known,1,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,emotionalWarmth,known,1,0.82,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,artRealism,known,2,0.86,ev-g2-fresh-b-art-the-apothecary-diaries
the-apothecary-diaries,artDensity,known,3,0.86,ev-g2-fresh-b-art-the-apothecary-diaries
the-apothecary-diaries,visualSoftness,known,2,0.86,ev-g2-fresh-b-art-the-apothecary-diaries
the-apothecary-diaries,motionImpact,unknown,,,ev-g2-fresh-b-art-the-apothecary-diaries
dorohedoro,progression,known,2,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,problemSolving,known,1,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,strategy,known,1,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,pacing,known,4,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,mysteryReveal,known,4,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,worldBuilding,known,4,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,characterArcWeight,known,3,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,relationshipStructure,known,4,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,comedy,known,3,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,darkness,known,4,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,mentalStress,known,2,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,romance,known,0,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,emotionalWarmth,known,2,0.82,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,artRealism,known,2,0.86,ev-g2-fresh-b-art-dorohedoro
dorohedoro,artDensity,known,4,0.86,ev-g2-fresh-b-art-dorohedoro
dorohedoro,visualSoftness,known,0,0.86,ev-g2-fresh-b-art-dorohedoro
dorohedoro,motionImpact,unknown,,,ev-g2-fresh-b-art-dorohedoro
sweat-and-soap,progression,known,1,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,problemSolving,known,1,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,strategy,known,0,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,pacing,known,3,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,mysteryReveal,known,0,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,worldBuilding,known,1,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,characterArcWeight,known,4,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,relationshipStructure,known,2,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,comedy,known,2,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,darkness,known,0,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,mentalStress,known,2,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,romance,known,4,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,emotionalWarmth,known,4,0.82,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,artRealism,known,2,0.86,ev-g2-fresh-b-art-sweat-and-soap
sweat-and-soap,artDensity,known,2,0.86,ev-g2-fresh-b-art-sweat-and-soap
sweat-and-soap,visualSoftness,known,3,0.86,ev-g2-fresh-b-art-sweat-and-soap
sweat-and-soap,motionImpact,unknown,,,ev-g2-fresh-b-art-sweat-and-soap
a-condition-called-love,progression,known,1,0.82,ev-g2-fresh-b-annotation-a-condition-called-love
a-condition-called-love,problemSolving,known,1,0.82,ev-g2-fresh-b-annotation-a-condition-called-love
a-condition-called-love,strategy,known,0,0.82,ev-g2-fresh-b-annotation-a-condition-called-love
a-condition-called-love,pacing,known,2,0.82,ev-g2-fresh-b-annotation-a-condition-called-love
a-condition-called-love,mysteryReveal,known,0,0.82,ev-g2-fresh-b-annotation-a-condition-called-love
a-condition-called-love,worldBuilding,known,0,0.82,ev-g2-fresh-b-annotation-a-condition-called-love
a-condition-called-love,characterArcWeight,known,4,0.82,ev-g2-fresh-b-annotation-a-condition-called-love
a-condition-called-love,relationshipStructure,known,2,0.82,ev-g2-fresh-b-annotation-a-condition-called-love
a-condition-called-love,comedy,known,1,0.82,ev-g2-fresh-b-annotation-a-condition-called-love
a-condition-called-love,darkness,known,1,0.82,ev-g2-fresh-b-annotation-a-condition-called-love
a-condition-called-love,mentalStress,known,4,0.82,ev-g2-fresh-b-annotation-a-condition-called-love
