workId,catalogRole,seriesGroupId,volumeCount,reviewAverage,reviewCount
fruits-basket,anchor,,23,,
inuyasha,anchor,,56,,
space-brothers,anchor,,46,,
blue-giant,bridge,,10,,
blue-period,bridge,,19,,
the-apothecary-diaries,bridge,,17,,
dorohedoro,bridge,,23,,
sweat-and-soap,discovery,,11,,
a-condition-called-love,discovery,,16,,
she-loves-to-cook-and-she-loves-to-eat,discovery,,6,,
my-brothers-husband,discovery,,4,,
our-dreams-at-dusk,discovery,,4,,
nina-the-starry-bride,discovery,,19,,
baby-steps,discovery,,47,,
capeta,discovery,,32,,
yowamushi-pedal,discovery,,100,,
moon-land,discovery,,9,,
giant-killing,discovery,,70,,
dragon-head,discovery,,10,,
kasane,discovery,,14,,
homunculus,discovery,,15,,
fort-of-apocalypse,discovery,,10,,
a-brides-story,discovery,,15,,
isabella-bird-in-wonderland,discovery,,13,,
arte,discovery,,22,,
thermae-romae,discovery,,6,,
knights-of-sidonia,discovery,,15,,
saturn-apartments,discovery,,7,,
origin,discovery,,10,,
accomplishments-of-the-dukes-daughter,discovery,,8,,
the-heroic-legend-of-arslan,discovery,,24,,
