workId,themeId,centrality,confidence,evidenceId
fruits-basket,school,2,0.84,ev-g2-fresh-b-annotation-fruits-basket
fruits-basket,foundFamily,2,0.84,ev-g2-fresh-b-annotation-fruits-basket
inuyasha,adventure,2,0.84,ev-g2-fresh-b-annotation-inuyasha
inuyasha,combat,2,0.84,ev-g2-fresh-b-annotation-inuyasha
inuyasha,timeTravel,2,0.84,ev-g2-fresh-b-annotation-inuyasha
inuyasha,exploration,1,0.84,ev-g2-fresh-b-annotation-inuyasha
space-brothers,workplace,2,0.84,ev-g2-fresh-b-annotation-space-brothers
space-brothers,exploration,2,0.84,ev-g2-fresh-b-annotation-space-brothers
blue-giant,workplace,1,0.84,ev-g2-fresh-b-annotation-blue-giant
blue-period,school,2,0.84,ev-g2-fresh-b-annotation-blue-period
blue-period,workplace,1,0.84,ev-g2-fresh-b-annotation-blue-period
the-apothecary-diaries,investigation,2,0.84,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,politics,2,0.84,ev-g2-fresh-b-annotation-the-apothecary-diaries
the-apothecary-diaries,workplace,2,0.84,ev-g2-fresh-b-annotation-the-apothecary-diaries
dorohedoro,combat,2,0.84,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,investigation,2,0.84,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,revenge,1,0.84,ev-g2-fresh-b-annotation-dorohedoro
dorohedoro,foundFamily,2,0.84,ev-g2-fresh-b-annotation-dorohedoro
sweat-and-soap,workplace,2,0.84,ev-g2-fresh-b-annotation-sweat-and-soap
sweat-and-soap,crafting,1,0.84,ev-g2-fresh-b-annotation-sweat-and-soap
a-condition-called-love,school,2,0.84,ev-g2-fresh-b-annotation-a-condition-called-love
she-loves-to-cook-and-she-loves-to-eat,cooking,2,0.84,ev-g2-fresh-b-annotation-she-loves-to-cook-and-she-loves-to-eat
she-loves-to-cook-and-she-loves-to-eat,workplace,1,0.84,ev-g2-fresh-b-annotation-she-loves-to-cook-and-she-loves-to-eat
she-loves-to-cook-and-she-loves-to-eat,foundFamily,2,0.84,ev-g2-fresh-b-annotation-she-loves-to-cook-and-she-loves-to-eat
my-brothers-husband,foundFamily,2,0.84,ev-g2-fresh-b-annotation-my-brothers-husband
our-dreams-at-dusk,school,1,0.84,ev-g2-fresh-b-annotation-our-dreams-at-dusk
our-dreams-at-dusk,foundFamily,2,0.84,ev-g2-fresh-b-annotation-our-dreams-at-dusk
nina-the-starry-bride,politics,2,0.84,ev-g2-fresh-b-annotation-nina-the-starry-bride
baby-steps,school,2,0.84,ev-g2-fresh-b-annotation-baby-steps
baby-steps,sportsCompetition,2,0.84,ev-g2-fresh-b-annotation-baby-steps
baby-steps,tournament,1,0.84,ev-g2-fresh-b-annotation-baby-steps
capeta,sportsCompetition,2,0.84,ev-g2-fresh-b-annotation-capeta
capeta,tournament,2,0.84,ev-g2-fresh-b-annotation-capeta
yowamushi-pedal,school,2,0.84,ev-g2-fresh-b-annotation-yowamushi-pedal
yowamushi-pedal,sportsCompetition,2,0.84,ev-g2-fresh-b-annotation-yowamushi-pedal
moon-land,school,2,0.84,ev-g2-fresh-b-annotation-moon-land
moon-land,sportsCompetition,2,0.84,ev-g2-fresh-b-annotation-moon-land
moon-land,tournament,1,0.84,ev-g2-fresh-b-annotation-moon-land
giant-killing,workplace,2,0.84,ev-g2-fresh-b-annotation-giant-killing
giant-killing,sportsCompetition,2,0.84,ev-g2-fresh-b-annotation-giant-killing
dragon-head,survival,2,0.84,ev-g2-fresh-b-annotation-dragon-head
dragon-head,investigation,2,0.84,ev-g2-fresh-b-annotation-dragon-head
dragon-head,postApocalypse,2,0.84,ev-g2-fresh-b-annotation-dragon-head
kasane,revenge,2,0.84,ev-g2-fresh-b-annotation-kasane
kasane,investigation,1,0.84,ev-g2-fresh-b-annotation-kasane
homunculus,investigation,2,0.84,ev-g2-fresh-b-annotation-homunculus
fort-of-apocalypse,survival,2,0.84,ev-g2-fresh-b-annotation-fort-of-apocalypse
fort-of-apocalypse,combat,2,0.84,ev-g2-fresh-b-annotation-fort-of-apocalypse
fort-of-apocalypse,postApocalypse,2,0.84,ev-g2-fresh-b-annotation-fort-of-apocalypse
fort-of-apocalypse,foundFamily,1,0.84,ev-g2-fresh-b-annotation-fort-of-apocalypse
a-brides-story,historicalReconstruction,2,0.84,ev-g2-fresh-b-annotation-a-brides-story
isabella-bird-in-wonderland,historicalReconstruction,2,0.84,ev-g2-fresh-b-annotation-isabella-bird-in-wonderland
isabella-bird-in-wonderland,exploration,2,0.84,ev-g2-fresh-b-annotation-isabella-bird-in-wonderland
arte,historicalReconstruction,2,0.84,ev-g2-fresh-b-annotation-arte
arte,crafting,2,0.84,ev-g2-fresh-b-annotation-arte
arte,workplace,2,0.84,ev-g2-fresh-b-annotation-arte
thermae-romae,historicalReconstruction,2,0.84,ev-g2-fresh-b-annotation-thermae-romae
thermae-romae,timeTravel,2,0.84,ev-g2-fresh-b-annotation-thermae-romae
thermae-romae,workplace,1,0.84,ev-g2-fresh-b-annotation-thermae-romae
knights-of-sidonia,combat,2,0.84,ev-g2-fresh-b-annotation-knights-of-sidonia
knights-of-sidonia,war,2,0.84,ev-g2-fresh-b-annotation-knights-of-sidonia
knights-of-sidonia,survival,2,0.84,ev-g2-fresh-b-annotation-knights-of-sidonia
knights-of-sidonia,exploration,2,0.84,ev-g2-fresh-b-annotation-knights-of-sidonia
saturn-apartments,workplace,2,0.84,ev-g2-fresh-b-annotation-saturn-apartments
saturn-apartments,exploration,2,0.84,ev-g2-fresh-b-annotation-saturn-apartments
saturn-apartments,foundFamily,1,0.84,ev-g2-fresh-b-annotation-saturn-apartments
origin,combat,2,0.84,ev-g2-fresh-b-annotation-origin
origin,investigation,2,0.84,ev-g2-fresh-b-annotation-origin
origin,workplace,1,0.84,ev-g2-fresh-b-annotation-origin
accomplishments-of-the-dukes-daughter,territoryManagement,2,0.84,ev-g2-fresh-b-annotation-accomplishments-of-the-dukes-daughter
accomplishments-of-the-dukes-daughter,reincarnation,2,0.84,ev-g2-fresh-b-annotation-accomplishments-of-the-dukes-daughter
accomplishments-of-the-dukes-daughter,politics,2,0.84,ev-g2-fresh-b-annotation-accomplishments-of-the-dukes-daughter
accomplishments-of-the-dukes-daughter,workplace,2,0.84,ev-g2-fresh-b-annotation-accomplishments-of-the-dukes-daughter
the-heroic-legend-of-arslan,war,2,0.84,ev-g2-fresh-b-annotation-the-heroic-legend-of-arslan
the-heroic-legend-of-arslan,politics,2,0.84,ev-g2-fresh-b-annotation-the-heroic-legend-of-arslan
the-heroic-legend-of-arslan,combat,2,0.84,ev-g2-fresh-b-annotation-the-heroic-legend-of-arslan
the-heroic-legend-of-arslan,adventure,2,0.84,ev-g2-fresh-b-annotation-the-heroic-legend-of-arslan
