id,workId,volumeNumber,isbn,releaseDate,editionKind,isRepresentative,evidenceId
fruits-basket-v1,fruits-basket,1,9784592171614,1999-01-19,standard,true,ev-g2-fresh-b-bib-fruits-basket
inuyasha-v1,inuyasha,1,9784091252012,,standard,true,ev-g2-fresh-b-bib-inuyasha
space-brothers-v1,space-brothers,1,9784063726749,2008-03-21,standard,true,ev-g2-fresh-b-bib-space-brothers
blue-giant-v1,blue-giant,1,9784091856784,2013-11-29,standard,true,ev-g2-fresh-b-bib-blue-giant
blue-period-v1,blue-period,1,9784065105863,2017-12-22,standard,true,ev-g2-fresh-b-bib-blue-period
the-apothecary-diaries-v1,the-apothecary-diaries,1,9784757554894,2017-09-25,standard,true,ev-g2-fresh-b-bib-the-apothecary-diaries
dorohedoro-v1,dorohedoro,1,9784091882714,2002-01-30,standard,true,ev-g2-fresh-b-bib-dorohedoro
sweat-and-soap-v1,sweat-and-soap,1,9784065133422,2018-10-10,standard,true,ev-g2-fresh-b-bib-sweat-and-soap
a-condition-called-love-v1,a-condition-called-love,1,9784065114698,2018-05-11,standard,true,ev-g2-fresh-b-bib-a-condition-called-love
she-loves-to-cook-and-she-loves-to-eat-v1,she-loves-to-cook-and-she-loves-to-eat,1,9784049136517,2021-06-15,standard,true,ev-g2-fresh-b-bib-she-loves-to-cook-and-she-loves-to-eat
my-brothers-husband-v1,my-brothers-husband,1,9784575846256,,standard,true,ev-g2-fresh-b-bib-my-brothers-husband
our-dreams-at-dusk-v1,our-dreams-at-dusk,1,9784091874191,2015-12-11,standard,true,ev-g2-fresh-b-bib-our-dreams-at-dusk
nina-the-starry-bride-v1,nina-the-starry-bride,1,9784065187173,2020-03-13,standard,true,ev-g2-fresh-b-bib-nina-the-starry-bride
baby-steps-v1,baby-steps,1,9784063639575,2008-02-15,standard,true,ev-g2-fresh-b-bib-baby-steps
capeta-v1,capeta,1,9784063347852,2003-10-16,standard,true,ev-g2-fresh-b-bib-capeta
yowamushi-pedal-v1,yowamushi-pedal,1,9784253214513,2008-07-08,standard,true,ev-g2-fresh-b-bib-yowamushi-pedal
moon-land-v1,moon-land,1,9784088817828,2019-03-04,standard,true,ev-g2-fresh-b-bib-moon-land
giant-killing-v1,giant-killing,1,9784063725933,2007-04-23,standard,true,ev-g2-fresh-b-bib-giant-killing
dragon-head-v1,dragon-head,1,9784063235197,1995-03-01,standard,true,ev-g2-fresh-b-bib-dragon-head
kasane-v1,kasane,1,9784063524857,2013-10-23,standard,true,ev-g2-fresh-b-bib-kasane
homunculus-v1,homunculus,1,9784091870711,,standard,true,ev-g2-fresh-b-bib-homunculus
fort-of-apocalypse-v1,fort-of-apocalypse,1,9784063802078,2012-03-02,standard,true,ev-g2-fresh-b-bib-fort-of-apocalypse
a-brides-story-v1,a-brides-story,1,9784047260764,2009-10-15,standard,true,ev-g2-fresh-b-bib-a-brides-story
isabella-bird-in-wonderland-v1,isabella-bird-in-wonderland,1,9784047305137,2015-05-15,standard,true,ev-g2-fresh-b-bib-isabella-bird-in-wonderland
arte-v1,arte,1,9784199802034,,standard,true,ev-g2-fresh-b-bib-arte
thermae-romae-v1,thermae-romae,1,9784047261273,2009-11-26,standard,true,ev-g2-fresh-b-bib-thermae-romae
knights-of-sidonia-v1,knights-of-sidonia,1,9784063145977,2009-09-23,standard,true,ev-g2-fresh-b-bib-knights-of-sidonia
saturn-apartments-v1,saturn-apartments,1,9784091883391,,standard,true,ev-g2-fresh-b-bib-saturn-apartments
origin-v1,origin,1,9784063829082,2017-01-06,standard,true,ev-g2-fresh-b-bib-origin
accomplishments-of-the-dukes-daughter-v1,accomplishments-of-the-dukes-daughter,1,9784041048023,2016-09-10,standard,true,ev-g2-fresh-b-bib-accomplishments-of-the-dukes-daughter
the-heroic-legend-of-arslan-v1,the-heroic-legend-of-arslan,1,9784063950502,2014-04-09,standard,true,ev-g2-fresh-b-bib-the-heroic-legend-of-arslan
