id,title,titleKana,creators,publisher,demographic,status,firstPublishedYear,genres,factorScope,onboardingEligible,recommendationEligible,libraryOnly,metadataConfidence,groupingConfidence,sourceAgreement,annotationReviewMethod,annotationReviewedAt,annotationReviewReference,evidenceId
fruits-basket,フルーツバスケット,フルーツバスケット,高屋奈月,白泉社,shojo,completed,1998,fantasy;comedy;sliceOfLife;romance,entry_1_3_volumes,false,false,true,0.99,0.99,0.98,unreviewed,,,ev-g2-fresh-b-bib-fruits-basket
inuyasha,犬夜叉,イヌヤシャ,高橋留美子,小学館,shonen,completed,1996,action;fantasy;historical;comedy;romance,entry_1_3_volumes,false,false,true,0.99,0.99,0.98,unreviewed,,,ev-g2-fresh-b-bib-inuyasha
space-brothers,宇宙兄弟,ウチュウキョウダイ,小山宙哉,講談社,seinen,completed,2007,scienceFiction;comedy;sliceOfLife,entry_1_3_volumes,false,false,true,0.99,0.99,0.98,unreviewed,,,ev-g2-fresh-b-bib-space-brothers
blue-giant,BLUE GIANT,ブルージャイアント,石塚真一,小学館,seinen,completed,2013,sliceOfLife,entry_1_3_volumes,false,false,true,0.99,0.99,0.98,unreviewed,,,ev-g2-fresh-b-bib-blue-giant
blue-period,ブルーピリオド,ブルーピリオド,山口つばさ,講談社,seinen,ongoing,2017,sliceOfLife,entry_1_3_volumes,false,false,true,0.99,0.99,0.98,unreviewed,,,ev-g2-fresh-b-bib-blue-period
the-apothecary-diaries,薬屋のひとりごと,クスリヤノヒトリゴト,日向夏;ねこクラゲ;七緒一綺;しのとうこ,スクウェア・エニックス,seinen,ongoing,2017,historical;mystery;romance,entry_1_3_volumes,false,false,true,0.99,0.99,0.98,unreviewed,,,ev-g2-fresh-b-bib-the-apothecary-diaries
dorohedoro,ドロヘドロ,ドロヘドロ,林田球,小学館,seinen,completed,2000,action;fantasy;mystery;comedy;horror,entry_1_3_volumes,false,false,true,0.99,0.99,0.98,unreviewed,,,ev-g2-fresh-b-bib-dorohedoro
sweat-and-soap,あせとせっけん,アセトセッケン,山田金鉄,講談社,seinen,completed,2018,comedy;sliceOfLife;romance,entry_1_3_volumes,false,false,true,0.99,0.99,0.98,unreviewed,,,ev-g2-fresh-b-bib-sweat-and-soap
a-condition-called-love,花野井くんと恋の病,ハナノイクントコイノヤマイ,森野萌,講談社,shojo,completed,2017,sliceOfLife;romance,entry_1_3_volumes,false,false,true,0.99,0.99,0.98,unreviewed,,,ev-g2-fresh-b-bib-a-condition-called-love
she-loves-to-cook-and-she-loves-to-eat,作りたい女と食べたい女,ツクリタイオンナトタベタイオンナ,ゆざきさかおみ,KADOKAWA,josei,ongoing,2021,sliceOfLife;romance,entry_1_3_volumes,false,false,true,0.99,0.99,0.98,unreviewed,,,ev-g2-fresh-b-bib-she-loves-to-cook-and-she-loves-to-eat
