workId,alias
cardcaptor-sakura,Cardcaptor Sakura
initial-d,Initial D
cells-at-work,Cells at Work!
xxxholic,xxxHOLiC
sailor-moon,Pretty Guardian Sailor Moon
showa-genroku-rakugo-shinju,Descending Stories: Showa Genroku Rakugo Shinju
wave-listen-to-me,"Wave, Listen to Me!"
police-in-a-pod,Police in a Pod
the-fable,The Fable
ace-of-the-diamond,Ace of the Diamond
days,DAYS
all-rounder-meguru,All-Rounder Meguru
perfect-world,Perfect World
tokyo-tarareba-girls,Tokyo Tarareba Girls
flying-witch,Flying Witch
witchcraft-works,Witchcraft Works
my-home-hero,My Home Hero
beck,BECK
gto,GTO: Great Teacher Onizuka
tomorrows-joe,Ashita no Joe
parasyte,Parasyte
princess-jellyfish,Princess Jellyfish
life-lessons-with-uramichi-oniisan,Life Lessons with Uramichi Oniisan
shangri-la-frontier,Shangri-La Frontier
rent-a-girlfriend,Rent-A-Girlfriend
inuyashiki,Inuyashiki
island-in-a-puddle,Island in a Puddle
mf-ghost,MF Ghost
my-dearest-self-with-malice-aforethought,My Dearest Self with Malice Aforethought
the-golden-sheep,The Golden Sheep
