workId,axisId,state,value,confidence,authorityClass,sourceType,sourceUrl,edition,scopeMapping,pageOrTimeRefs,sampleCount,contexts,observation,limitation,reviewStatus
cardcaptor-sakura,artRealism,known,1,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/cardcaptor-sakura-collectors-edition/,Cardcaptor Sakura Collector's Edition 1; mapped Japanese Volume 1 ISBN 9784063197433,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 15; Omoi reader page 23; Omoi reader page 31; Omoi reader page 39; Omoi reader page 47,6,nightmare and magical incident; school and bicycle travel; transformation and confrontation,인물과 사물은 단순화와 만화적 변형이 강하고 사실적 비례보다 표정과 실루엣 전달을 우선한다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
cardcaptor-sakura,artDensity,known,3,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/cardcaptor-sakura-collectors-edition/,Cardcaptor Sakura Collector's Edition 1; mapped Japanese Volume 1 ISBN 9784063197433,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 15; Omoi reader page 23; Omoi reader page 31; Omoi reader page 39; Omoi reader page 47,6,nightmare and magical incident; school and bicycle travel; transformation and confrontation,배경·소품·효과선이 여러 층으로 겹쳐 평균보다 높은 시각 정보량을 만든다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
cardcaptor-sakura,visualSoftness,known,4,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/cardcaptor-sakura-collectors-edition/,Cardcaptor Sakura Collector's Edition 1; mapped Japanese Volume 1 ISBN 9784063197433,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 15; Omoi reader page 23; Omoi reader page 31; Omoi reader page 39; Omoi reader page 47,6,nightmare and magical incident; school and bicycle travel; transformation and confrontation,둥근 형태·가벼운 선·넓은 밝은 면이 지속되어 매우 부드럽고 공기감 있는 인상을 준다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
cardcaptor-sakura,motionImpact,unknown,,,publisherAuthorizedPlatform,manual,https://kodansha.us/series/cardcaptor-sakura-collectors-edition/,Cardcaptor Sakura Collector's Edition 1; mapped Japanese Volume 1 ISBN 9784063197433,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 7; Omoi reader page 15; Omoi reader page 23; Omoi reader page 31; Omoi reader page 39; Omoi reader page 47,6,nightmare and magical incident; school and bicycle travel; transformation and confrontation,인용한 여섯 정지 페이지에서 이 축의 대표값을 추론하지 않았다.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
initial-d,artRealism,known,3,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/initial-d/,Initial D Omnibus 1; mapped Japanese Volume 1 ISBN 9784063235678,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 10; Omoi reader page 14; Omoi reader page 22; Omoi reader page 29; Omoi reader page 37; Omoi reader page 45,6,mountain race and route map; school and gas station; cafe and family conversation,인체 비례와 주요 사물·공간은 비교적 현실적으로 묘사되며 만화적 과장은 제한적이다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
initial-d,artDensity,known,3,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/initial-d/,Initial D Omnibus 1; mapped Japanese Volume 1 ISBN 9784063235678,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 10; Omoi reader page 14; Omoi reader page 22; Omoi reader page 29; Omoi reader page 37; Omoi reader page 45,6,mountain race and route map; school and gas station; cafe and family conversation,배경·소품·효과선이 여러 층으로 겹쳐 평균보다 높은 시각 정보량을 만든다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
initial-d,visualSoftness,known,1,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/initial-d/,Initial D Omnibus 1; mapped Japanese Volume 1 ISBN 9784063235678,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 10; Omoi reader page 14; Omoi reader page 22; Omoi reader page 29; Omoi reader page 37; Omoi reader page 45,6,mountain race and route map; school and gas station; cafe and family conversation,각진 선과 강한 흑백 대비가 우세해 화면의 촉감이 단단하고 날카롭다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
initial-d,motionImpact,unknown,,,publisherAuthorizedPlatform,manual,https://kodansha.us/series/initial-d/,Initial D Omnibus 1; mapped Japanese Volume 1 ISBN 9784063235678,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 10; Omoi reader page 14; Omoi reader page 22; Omoi reader page 29; Omoi reader page 37; Omoi reader page 45,6,mountain race and route map; school and gas station; cafe and family conversation,인용한 여섯 정지 페이지에서 이 축의 대표값을 추론하지 않았다.,The inspected sample did not establish a representative continuous physical-action sequence; motion remains unknown.,modelObservedPendingPanel
cells-at-work,artRealism,known,2,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/cells-at-work/,Cells at Work! 1; mapped Japanese Volume 1 ISBN 9784063765601,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 8; Omoi reader page 18; Omoi reader page 29; Omoi reader page 39; Omoi reader page 49; Omoi reader page 59,6,internal-body pursuit; lymphatic briefing; bacterium battle,인체와 사물은 관습적 만화 양식으로 정리되어 있으며 현실 관찰과 도식화가 균형을 이룬다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
cells-at-work,artDensity,known,4,0.86,publisherAuthorizedPlatform,manual,https://kodansha.us/series/cells-at-work/,Cells at Work! 1; mapped Japanese Volume 1 ISBN 9784063765601,The publisher-authorized licensed opening edition begins with the same series entry and maps within entry_1_3_volumes; translated lettering was excluded from density judgment.,Omoi reader page 8; Omoi reader page 18; Omoi reader page 29; Omoi reader page 39; Omoi reader page 49; Omoi reader page 59,6,internal-body pursuit; lymphatic briefing; bacterium battle,세밀한 배경·소품·효과와 복합 구도가 지속되어 시각 정보량이 매우 높다.,Six distinct licensed interior pages across at least two contexts were inspected; the sample is entry-range only and panel or human review remains pending.,modelObservedPendingPanel
