workId,axisId,state,value,confidence,evidenceId
cardcaptor-sakura,progression,known,3,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,problemSolving,known,2,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,strategy,known,1,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,pacing,known,3,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,mysteryReveal,known,2,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,worldBuilding,known,3,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,characterArcWeight,known,3,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,relationshipStructure,known,3,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,comedy,known,3,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,darkness,known,1,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,mentalStress,known,1,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,romance,known,2,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,emotionalWarmth,known,4,0.82,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,artRealism,known,1,0.86,ev-g2-fresh-c-art-cardcaptor-sakura
cardcaptor-sakura,artDensity,known,3,0.86,ev-g2-fresh-c-art-cardcaptor-sakura
cardcaptor-sakura,visualSoftness,known,4,0.86,ev-g2-fresh-c-art-cardcaptor-sakura
cardcaptor-sakura,motionImpact,unknown,,,ev-g2-fresh-c-art-cardcaptor-sakura
initial-d,progression,known,4,0.82,ev-g2-fresh-c-annotation-initial-d
initial-d,problemSolving,known,2,0.82,ev-g2-fresh-c-annotation-initial-d
initial-d,strategy,known,2,0.82,ev-g2-fresh-c-annotation-initial-d
initial-d,pacing,known,3,0.82,ev-g2-fresh-c-annotation-initial-d
initial-d,mysteryReveal,known,1,0.82,ev-g2-fresh-c-annotation-initial-d
initial-d,worldBuilding,known,3,0.82,ev-g2-fresh-c-annotation-initial-d
initial-d,characterArcWeight,known,3,0.82,ev-g2-fresh-c-annotation-initial-d
