workId,intendedCatalogRole,intendedOnboardingEligible,intendedRecommendationEligible,intendedLibraryOnly,promotionState,slotAuthority
cardcaptor-sakura,anchor,true,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
initial-d,anchor,true,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
cells-at-work,bridge,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
xxxholic,bridge,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
sailor-moon,bridge,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
showa-genroku-rakugo-shinju,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
wave-listen-to-me,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
police-in-a-pod,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
the-fable,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
ace-of-the-diamond,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
days,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
all-rounder-meguru,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
perfect-world,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
tokyo-tarareba-girls,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
flying-witch,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
witchcraft-works,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
my-home-hero,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
beck,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
gto,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
tomorrows-joe,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
parasyte,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
princess-jellyfish,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
life-lessons-with-uramichi-oniisan,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
shangri-la-frontier,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
rent-a-girlfriend,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
inuyashiki,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
island-in-a-puddle,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
mf-ghost,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
my-dearest-self-with-malice-aforethought,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
the-golden-sheep,discovery,false,true,false,pending-human-or-authorized-model-panel-review,g2-fresh-c-admission-manifest
