workId,catalogRole,seriesGroupId,volumeCount,reviewAverage,reviewCount
cardcaptor-sakura,anchor,,12,,
initial-d,anchor,initial-d-mf-ghost,48,,
cells-at-work,bridge,,6,,
xxxholic,bridge,,19,,
sailor-moon,bridge,,18,,
showa-genroku-rakugo-shinju,discovery,,10,,
wave-listen-to-me,discovery,,12,,
police-in-a-pod,discovery,,23,,
the-fable,discovery,,22,,
ace-of-the-diamond,discovery,,47,,
days,discovery,,42,,
all-rounder-meguru,discovery,,19,,
perfect-world,discovery,,12,,
tokyo-tarareba-girls,discovery,,9,,
flying-witch,discovery,,15,,
witchcraft-works,discovery,,17,,
my-home-hero,discovery,,26,,
beck,discovery,,34,,
gto,discovery,,25,,
tomorrows-joe,discovery,,20,,
parasyte,discovery,,10,,
princess-jellyfish,discovery,,17,,
life-lessons-with-uramichi-oniisan,discovery,,12,,
shangri-la-frontier,discovery,,27,,
rent-a-girlfriend,discovery,,46,,
inuyashiki,discovery,,10,,
island-in-a-puddle,discovery,,5,,
mf-ghost,discovery,initial-d-mf-ghost,23,,
my-dearest-self-with-malice-aforethought,discovery,,11,,
the-golden-sheep,discovery,,3,,
