workId,themeId,centrality,confidence,evidenceId
cardcaptor-sakura,adventure,2,0.84,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,combat,1,0.84,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,school,2,0.84,ev-g2-fresh-c-annotation-cardcaptor-sakura
cardcaptor-sakura,foundFamily,2,0.84,ev-g2-fresh-c-annotation-cardcaptor-sakura
initial-d,adventure,1,0.84,ev-g2-fresh-c-annotation-initial-d
initial-d,tournament,1,0.84,ev-g2-fresh-c-annotation-initial-d
initial-d,school,1,0.84,ev-g2-fresh-c-annotation-initial-d
initial-d,sportsCompetition,2,0.84,ev-g2-fresh-c-annotation-initial-d
initial-d,foundFamily,1,0.84,ev-g2-fresh-c-annotation-initial-d
cells-at-work,combat,2,0.84,ev-g2-fresh-c-annotation-cells-at-work
cells-at-work,workplace,2,0.84,ev-g2-fresh-c-annotation-cells-at-work
cells-at-work,foundFamily,1,0.84,ev-g2-fresh-c-annotation-cells-at-work
cells-at-work,exploration,1,0.84,ev-g2-fresh-c-annotation-cells-at-work
xxxholic,investigation,2,0.84,ev-g2-fresh-c-annotation-xxxholic
xxxholic,school,1,0.84,ev-g2-fresh-c-annotation-xxxholic
xxxholic,foundFamily,1,0.84,ev-g2-fresh-c-annotation-xxxholic
xxxholic,exploration,1,0.84,ev-g2-fresh-c-annotation-xxxholic
sailor-moon,adventure,2,0.84,ev-g2-fresh-c-annotation-sailor-moon
sailor-moon,combat,2,0.84,ev-g2-fresh-c-annotation-sailor-moon
sailor-moon,school,2,0.84,ev-g2-fresh-c-annotation-sailor-moon
sailor-moon,foundFamily,2,0.84,ev-g2-fresh-c-annotation-sailor-moon
showa-genroku-rakugo-shinju,workplace,2,0.84,ev-g2-fresh-c-annotation-showa-genroku-rakugo-shinju
showa-genroku-rakugo-shinju,foundFamily,1,0.84,ev-g2-fresh-c-annotation-showa-genroku-rakugo-shinju
showa-genroku-rakugo-shinju,historicalReconstruction,2,0.84,ev-g2-fresh-c-annotation-showa-genroku-rakugo-shinju
wave-listen-to-me,workplace,2,0.84,ev-g2-fresh-c-annotation-wave-listen-to-me
wave-listen-to-me,foundFamily,1,0.84,ev-g2-fresh-c-annotation-wave-listen-to-me
police-in-a-pod,investigation,2,0.84,ev-g2-fresh-c-annotation-police-in-a-pod
police-in-a-pod,workplace,2,0.84,ev-g2-fresh-c-annotation-police-in-a-pod
police-in-a-pod,foundFamily,1,0.84,ev-g2-fresh-c-annotation-police-in-a-pod
the-fable,combat,2,0.84,ev-g2-fresh-c-annotation-the-fable
the-fable,investigation,1,0.84,ev-g2-fresh-c-annotation-the-fable
the-fable,workplace,1,0.84,ev-g2-fresh-c-annotation-the-fable
the-fable,foundFamily,1,0.84,ev-g2-fresh-c-annotation-the-fable
ace-of-the-diamond,tournament,2,0.84,ev-g2-fresh-c-annotation-ace-of-the-diamond
ace-of-the-diamond,school,2,0.84,ev-g2-fresh-c-annotation-ace-of-the-diamond
ace-of-the-diamond,sportsCompetition,2,0.84,ev-g2-fresh-c-annotation-ace-of-the-diamond
ace-of-the-diamond,foundFamily,2,0.84,ev-g2-fresh-c-annotation-ace-of-the-diamond
days,tournament,2,0.84,ev-g2-fresh-c-annotation-days
days,school,2,0.84,ev-g2-fresh-c-annotation-days
days,sportsCompetition,2,0.84,ev-g2-fresh-c-annotation-days
days,foundFamily,2,0.84,ev-g2-fresh-c-annotation-days
all-rounder-meguru,combat,2,0.84,ev-g2-fresh-c-annotation-all-rounder-meguru
all-rounder-meguru,martialArts,2,0.84,ev-g2-fresh-c-annotation-all-rounder-meguru
all-rounder-meguru,tournament,2,0.84,ev-g2-fresh-c-annotation-all-rounder-meguru
all-rounder-meguru,school,1,0.84,ev-g2-fresh-c-annotation-all-rounder-meguru
all-rounder-meguru,sportsCompetition,2,0.84,ev-g2-fresh-c-annotation-all-rounder-meguru
all-rounder-meguru,foundFamily,1,0.84,ev-g2-fresh-c-annotation-all-rounder-meguru
perfect-world,workplace,1,0.84,ev-g2-fresh-c-annotation-perfect-world
perfect-world,foundFamily,1,0.84,ev-g2-fresh-c-annotation-perfect-world
tokyo-tarareba-girls,workplace,1,0.84,ev-g2-fresh-c-annotation-tokyo-tarareba-girls
tokyo-tarareba-girls,foundFamily,2,0.84,ev-g2-fresh-c-annotation-tokyo-tarareba-girls
flying-witch,school,1,0.84,ev-g2-fresh-c-annotation-flying-witch
flying-witch,exploration,1,0.84,ev-g2-fresh-c-annotation-flying-witch
witchcraft-works,adventure,1,0.84,ev-g2-fresh-c-annotation-witchcraft-works
witchcraft-works,combat,2,0.84,ev-g2-fresh-c-annotation-witchcraft-works
witchcraft-works,school,2,0.84,ev-g2-fresh-c-annotation-witchcraft-works
witchcraft-works,foundFamily,1,0.84,ev-g2-fresh-c-annotation-witchcraft-works
my-home-hero,combat,1,0.84,ev-g2-fresh-c-annotation-my-home-hero
my-home-hero,survival,2,0.84,ev-g2-fresh-c-annotation-my-home-hero
my-home-hero,investigation,2,0.84,ev-g2-fresh-c-annotation-my-home-hero
my-home-hero,revenge,1,0.84,ev-g2-fresh-c-annotation-my-home-hero
beck,school,1,0.84,ev-g2-fresh-c-annotation-beck
beck,workplace,1,0.84,ev-g2-fresh-c-annotation-beck
beck,foundFamily,2,0.84,ev-g2-fresh-c-annotation-beck
gto,combat,1,0.84,ev-g2-fresh-c-annotation-gto
gto,school,2,0.84,ev-g2-fresh-c-annotation-gto
gto,workplace,2,0.84,ev-g2-fresh-c-annotation-gto
gto,foundFamily,1,0.84,ev-g2-fresh-c-annotation-gto
tomorrows-joe,combat,2,0.84,ev-g2-fresh-c-annotation-tomorrows-joe
tomorrows-joe,martialArts,2,0.84,ev-g2-fresh-c-annotation-tomorrows-joe
tomorrows-joe,tournament,2,0.84,ev-g2-fresh-c-annotation-tomorrows-joe
tomorrows-joe,sportsCompetition,2,0.84,ev-g2-fresh-c-annotation-tomorrows-joe
tomorrows-joe,foundFamily,1,0.84,ev-g2-fresh-c-annotation-tomorrows-joe
parasyte,combat,2,0.84,ev-g2-fresh-c-annotation-parasyte
parasyte,survival,2,0.84,ev-g2-fresh-c-annotation-parasyte
parasyte,investigation,2,0.84,ev-g2-fresh-c-annotation-parasyte
parasyte,school,1,0.84,ev-g2-fresh-c-annotation-parasyte
princess-jellyfish,crafting,2,0.84,ev-g2-fresh-c-annotation-princess-jellyfish
princess-jellyfish,workplace,1,0.84,ev-g2-fresh-c-annotation-princess-jellyfish
princess-jellyfish,foundFamily,2,0.84,ev-g2-fresh-c-annotation-princess-jellyfish
life-lessons-with-uramichi-oniisan,workplace,2,0.84,ev-g2-fresh-c-annotation-life-lessons-with-uramichi-oniisan
life-lessons-with-uramichi-oniisan,foundFamily,1,0.84,ev-g2-fresh-c-annotation-life-lessons-with-uramichi-oniisan
shangri-la-frontier,adventure,2,0.84,ev-g2-fresh-c-annotation-shangri-la-frontier
shangri-la-frontier,combat,2,0.84,ev-g2-fresh-c-annotation-shangri-la-frontier
shangri-la-frontier,exploration,2,0.84,ev-g2-fresh-c-annotation-shangri-la-frontier
rent-a-girlfriend,school,2,0.84,ev-g2-fresh-c-annotation-rent-a-girlfriend
rent-a-girlfriend,workplace,1,0.84,ev-g2-fresh-c-annotation-rent-a-girlfriend
rent-a-girlfriend,foundFamily,1,0.84,ev-g2-fresh-c-annotation-rent-a-girlfriend
inuyashiki,combat,2,0.84,ev-g2-fresh-c-annotation-inuyashiki
inuyashiki,survival,1,0.84,ev-g2-fresh-c-annotation-inuyashiki
