id,workId,volumeNumber,isbn,releaseDate,editionKind,isRepresentative,evidenceId
cardcaptor-sakura-v1,cardcaptor-sakura,1,9784063197433,1996-11-20,standard,true,ev-g2-fresh-c-bib-cardcaptor-sakura
initial-d-v1,initial-d,1,9784063235678,1995-11-02,standard,true,ev-g2-fresh-c-bib-initial-d
cells-at-work-v1,cells-at-work,1,9784063765601,2015-07-09,standard,true,ev-g2-fresh-c-bib-cells-at-work
xxxholic-v1,xxxholic,1,9784063347524,2003-07-24,standard,true,ev-g2-fresh-c-bib-xxxholic
sailor-moon-v1,sailor-moon,1,9784061787216,1992-07-01,standard,true,ev-g2-fresh-c-bib-sailor-moon
showa-genroku-rakugo-shinju-v1,showa-genroku-rakugo-shinju,1,9784063805147,2011-07-07,standard,true,ev-g2-fresh-c-bib-showa-genroku-rakugo-shinju
wave-listen-to-me-v1,wave-listen-to-me,1,9784063880588,2015-05-22,standard,true,ev-g2-fresh-c-bib-wave-listen-to-me
police-in-a-pod-v1,police-in-a-pod,1,9784065113226,2018-04-23,standard,true,ev-g2-fresh-c-bib-police-in-a-pod
the-fable-v1,the-fable,1,9784063825633,2015-03-06,standard,true,ev-g2-fresh-c-bib-the-fable
ace-of-the-diamond-v1,ace-of-the-diamond,1,9784063637281,2006-09-15,standard,true,ev-g2-fresh-c-bib-ace-of-the-diamond
days-v1,days,1,9784063848984,2013-07-17,standard,true,ev-g2-fresh-c-bib-days
all-rounder-meguru-v1,all-rounder-meguru,1,9784063522648,2009-04-23,standard,true,ev-g2-fresh-c-bib-all-rounder-meguru
perfect-world-v1,perfect-world,1,9784063409482,2015-02-13,standard,true,ev-g2-fresh-c-bib-perfect-world
tokyo-tarareba-girls-v1,tokyo-tarareba-girls,1,9784063409352,2014-09-12,standard,true,ev-g2-fresh-c-bib-tokyo-tarareba-girls
flying-witch-v1,flying-witch,1,9784063949926,2013-12-09,standard,true,ev-g2-fresh-c-bib-flying-witch
witchcraft-works-v1,witchcraft-works,1,9784063107135,2010-11-05,standard,true,ev-g2-fresh-c-bib-witchcraft-works
my-home-hero-v1,my-home-hero,1,9784065101391,2017-09-06,standard,true,ev-g2-fresh-c-bib-my-home-hero
beck-v1,beck,1,9784063342789,2000-02-15,standard,true,ev-g2-fresh-c-bib-beck
gto-v1,gto,1,9784063124118,1997-05-14,standard,true,ev-g2-fresh-c-bib-gto
tomorrows-joe-v1,tomorrows-joe,1,9784061090804,1970-03-07,standard,true,ev-g2-fresh-c-bib-tomorrows-joe
parasyte-v1,parasyte,1,9784063140262,1990-07-20,standard,true,ev-g2-fresh-c-bib-parasyte
princess-jellyfish-v1,princess-jellyfish,1,9784063407440,2009-03-13,standard,true,ev-g2-fresh-c-bib-princess-jellyfish
life-lessons-with-uramichi-oniisan-v1,life-lessons-with-uramichi-oniisan,1,9784758015752,2017-09-27,standard,true,ev-g2-fresh-c-bib-life-lessons-with-uramichi-oniisan
shangri-la-frontier-v1,shangri-la-frontier,1,9784065212325,2020-10-16,standard,true,ev-g2-fresh-c-bib-shangri-la-frontier
rent-a-girlfriend-v1,rent-a-girlfriend,1,9784065102213,2017-10-17,standard,true,ev-g2-fresh-c-bib-rent-a-girlfriend
inuyashiki-v1,inuyashiki,1,9784063545173,2014-05-23,standard,true,ev-g2-fresh-c-bib-inuyashiki
island-in-a-puddle-v1,island-in-a-puddle,1,9784065188583,2020-03-23,standard,true,ev-g2-fresh-c-bib-island-in-a-puddle
mf-ghost-v1,mf-ghost,1,9784065107072,2018-01-05,standard,true,ev-g2-fresh-c-bib-mf-ghost
my-dearest-self-with-malice-aforethought-v1,my-dearest-self-with-malice-aforethought,1,9784065128077,2018-09-06,standard,true,ev-g2-fresh-c-bib-my-dearest-self-with-malice-aforethought
the-golden-sheep-v1,the-golden-sheep,1,9784065111260,2018-03-23,standard,true,ev-g2-fresh-c-bib-the-golden-sheep
