id,title,titleKana,creators,publisher,demographic,status,firstPublishedYear,genres,factorScope,onboardingEligible,recommendationEligible,libraryOnly,metadataConfidence,groupingConfidence,sourceAgreement,annotationReviewMethod,annotationReviewedAt,annotationReviewReference,evidenceId
cardcaptor-sakura,カードキャプターさくら,,CLAMP,講談社,shojo,completed,1996,fantasy;comedy;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-cardcaptor-sakura
initial-d,頭文字Ｄ,,しげの秀一,講談社,seinen,completed,1995,action;sports,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-initial-d
cells-at-work,はたらく細胞,,清水茜,講談社,shonen,completed,2015,action;scienceFiction;comedy,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-cells-at-work
xxxholic,×××ＨＯＬｉＣ,,CLAMP,講談社,seinen,completed,2003,fantasy;mystery;horror,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-xxxholic
sailor-moon,美少女戦士セーラームーン,,武内直子,講談社,shojo,completed,1992,action;fantasy;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-sailor-moon
showa-genroku-rakugo-shinju,昭和元禄落語心中,,雲田はるこ,講談社,josei,completed,2010,historical;sliceOfLife;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-showa-genroku-rakugo-shinju
wave-listen-to-me,波よ聞いてくれ,,沙村広明,講談社,seinen,ongoing,2014,comedy;sliceOfLife,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-wave-listen-to-me
police-in-a-pod,ハコヅメ～交番女子の逆襲～,,泰三子,講談社,seinen,hiatus,2017,comedy;sliceOfLife,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-police-in-a-pod
the-fable,ザ・ファブル,,南勝久,講談社,seinen,completed,2014,action;comedy,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-the-fable
ace-of-the-diamond,ダイヤのＡ,,寺嶋裕二,講談社,shonen,completed,2006,sports,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-ace-of-the-diamond
days,ＤＡＹＳ,,安田剛士,講談社,shonen,completed,2013,sports,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-days
all-rounder-meguru,オールラウンダー廻,,遠藤浩輝,講談社,seinen,completed,2008,action;sports,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-all-rounder-meguru
perfect-world,パーフェクトワールド,,有賀リエ,講談社,josei,completed,2014,sliceOfLife;romance,entry_1_3_volumes,false,false,true,0.98,0.99,0.96,unreviewed,,,ev-g2-fresh-c-bib-perfect-world
