Serving HTTP on 127.0.0.1 port 4173 (http://127.0.0.1:4173/) ...
127.0.0.1 - - [13/Aug/2026 22:27:48] "GET /synthetic-pilot/ HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 22:27:48] "GET /_next/static/chunks/1bfv0twqyikhd.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 22:27:48] "GET /_next/static/chunks/3z_u62x5_tqjc.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 22:27:48] "GET /_next/static/chunks/20bgx4tnpkorc.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 22:27:48] "GET /_next/static/chunks/0-n1dbpdu8c0b.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 22:27:48] "GET /_next/static/chunks/2f6fnb4lx-yub.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 22:27:48] "GET /_next/static/chunks/turbopack-35jhnqft5vfyb.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 22:27:48] "GET /_next/static/chunks/0zrx-n7v36079.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 22:27:49] "GET /_next/static/chunks/3jazbi6wf_r13.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 22:27:49] code 404, message File not found
127.0.0.1 - - [13/Aug/2026 22:27:49] "GET /favicon.ico HTTP/1.1" 404 -
