workId,axisId,state,value,confidence,authorityClass,sourceType,sourceUrl,edition,scopeMapping,pageOrTimeRefs,sampleCount,contexts,observation,limitation,reviewStatus
chis-sweet-adventures,artRealism,known,0,0.95,publisherAuthorizedPlatform,manual,https://kodansha.us/book/chis-sweet-adventures/,licensed English digital Volume 1; ISBN 9781642122312,Publisher-authorized licensed English Volume 1 maps to the corresponding Japanese standard Volume 1 within entry_1_3_volumes; lettering was excluded from density judgment.,reader page 7; reader page 6; reader page 9; reader page 8; reader page 11; reader page 10,6,family kitchen feeding; box and ball play; meeting another cat,Strongly simplified and super-deformed cats and people dominate the sample.,Six or more distinct licensed interior pages across at least two contexts were inspected; translated lettering was excluded from density; panel or human review remains pending.,modelObservedPendingPanel
chis-sweet-adventures,artDensity,known,1,0.90,publisherAuthorizedPlatform,manual,https://kodansha.us/book/chis-sweet-adventures/,licensed English digital Volume 1; ISBN 9781642122312,Publisher-authorized licensed English Volume 1 maps to the corresponding Japanese standard Volume 1 within entry_1_3_volumes; lettering was excluded from density judgment.,reader page 7; reader page 6; reader page 9; reader page 8; reader page 11; reader page 10,6,family kitchen feeding; box and ball play; meeting another cat,"Open full-color panels and flat backgrounds dominate, with occasional domestic props.",Six or more distinct licensed interior pages across at least two contexts were inspected; translated lettering was excluded from density; panel or human review remains pending.,modelObservedPendingPanel
chis-sweet-adventures,visualSoftness,known,4,0.95,publisherAuthorizedPlatform,manual,https://kodansha.us/book/chis-sweet-adventures/,licensed English digital Volume 1; ISBN 9781642122312,Publisher-authorized licensed English Volume 1 maps to the corresponding Japanese standard Volume 1 within entry_1_3_volumes; lettering was excluded from density judgment.,reader page 7; reader page 6; reader page 9; reader page 8; reader page 11; reader page 10,6,family kitchen feeding; box and ball play; meeting another cat,Rounded silhouettes and a pastel full-color palette create consistently soft presentation.,Six or more distinct licensed interior pages across at least two contexts were inspected; translated lettering was excluded from density; panel or human review remains pending.,modelObservedPendingPanel
chis-sweet-adventures,motionImpact,known,2,0.82,publisherAuthorizedPlatform,manual,https://kodansha.us/book/chis-sweet-adventures/,licensed English digital Volume 1; ISBN 9781642122312,Publisher-authorized licensed English Volume 1 maps to the corresponding Japanese standard Volume 1 within entry_1_3_volumes; lettering was excluded from density judgment.,reader page 8 panels 1-4,6,family kitchen feeding; box and ball play; meeting another cat,Ball play is communicated by a continuous multi-panel action sequence with ordinary impact emphasis.,A continuous action sequence was inspected; panel or human review remains pending.,modelObservedPendingPanel
lovely-muco,artRealism,known,0,0.93,publisherAuthorizedPlatform,manual,https://kodansha.us/series/lovely-muco/,licensed English digital Volume 1; ISBN 9781684919949,Publisher-authorized licensed English Volume 1 maps to the corresponding Japanese standard Volume 1 within entry_1_3_volumes; lettering was excluded from density judgment.,reader page 9; reader page 10; reader page 11; reader page 12; reader page 13; reader page 14,6,glass workshop exterior and yard; workshop interior; garden and furnace,The dog and human figures use strong comic deformation and simplified proportions.,Exactly six readable distinct licensed interior pages across at least two contexts were inspected; reader page 8 title splash plus cover/frontispiece/UI/cropped captures were excluded; translated lettering was excluded from density; panel or human review remains pending.,modelObservedPendingPanel
lovely-muco,artDensity,known,1,0.90,publisherAuthorizedPlatform,manual,https://kodansha.us/series/lovely-muco/,licensed English digital Volume 1; ISBN 9781684919949,Publisher-authorized licensed English Volume 1 maps to the corresponding Japanese standard Volume 1 within entry_1_3_volumes; lettering was excluded from density judgment.,reader page 9; reader page 10; reader page 11; reader page 12; reader page 13; reader page 14,6,glass workshop exterior and yard; workshop interior; garden and furnace,White space and flat color fields dominate despite recurring workshop and furnace props.,Exactly six readable distinct licensed interior pages across at least two contexts were inspected; reader page 8 title splash plus cover/frontispiece/UI/cropped captures were excluded; translated lettering was excluded from density; panel or human review remains pending.,modelObservedPendingPanel
lovely-muco,visualSoftness,known,3,0.90,publisherAuthorizedPlatform,manual,https://kodansha.us/series/lovely-muco/,licensed English digital Volume 1; ISBN 9781684919949,Publisher-authorized licensed English Volume 1 maps to the corresponding Japanese standard Volume 1 within entry_1_3_volumes; lettering was excluded from density judgment.,reader page 9; reader page 10; reader page 11; reader page 12; reader page 13; reader page 14,6,glass workshop exterior and yard; workshop interior; garden and furnace,Rounded dog forms and bright color produce a soft presentation with some angular comic accents.,Exactly six readable distinct licensed interior pages across at least two contexts were inspected; reader page 8 title splash plus cover/frontispiece/UI/cropped captures were excluded; translated lettering was excluded from density; panel or human review remains pending.,modelObservedPendingPanel
lovely-muco,motionImpact,known,2,0.82,publisherAuthorizedPlatform,manual,https://kodansha.us/series/lovely-muco/,licensed English digital Volume 1; ISBN 9781684919949,Publisher-authorized licensed English Volume 1 maps to the corresponding Japanese standard Volume 1 within entry_1_3_volumes; lettering was excluded from density judgment.,reader page 12 panels 3-7,6,glass workshop exterior and yard; workshop interior; garden and furnace,A continuous spin and splash sequence uses ordinary action marks and panel-to-panel movement.,A continuous action sequence was inspected; panel or human review remains pending.,modelObservedPendingPanel
penguin-and-house,artRealism,known,0,0.95,publisherAuthorizedPlatform,manual,https://kodansha.us/series/penguin-and-house/,licensed English digital Volume 1; ISBN 9781636996851,Publisher-authorized licensed English Volume 1 maps to the corresponding Japanese standard Volume 1 within entry_1_3_volumes; lettering was excluded from density judgment.,reader page 7; reader page 6; reader page 11; reader page 10; reader page 13; reader page 12,6,bathroom and hallway chores; kitchen cooking; meal and return home,The round penguin is maximally simplified while household figures remain comic abstractions.,Six or more distinct licensed interior pages across at least two contexts were inspected; translated lettering was excluded from density; panel or human review remains pending.,modelObservedPendingPanel
penguin-and-house,artDensity,known,1,0.90,publisherAuthorizedPlatform,manual,https://kodansha.us/series/penguin-and-house/,licensed English digital Volume 1; ISBN 9781636996851,Publisher-authorized licensed English Volume 1 maps to the corresponding Japanese standard Volume 1 within entry_1_3_volumes; lettering was excluded from density judgment.,reader page 7; reader page 6; reader page 11; reader page 10; reader page 13; reader page 12,6,bathroom and hallway chores; kitchen cooking; meal and return home,"Sparse monochrome environments frame a few readable bathroom, hallway, and kitchen props.",Six or more distinct licensed interior pages across at least two contexts were inspected; translated lettering was excluded from density; panel or human review remains pending.,modelObservedPendingPanel
