workId,axisId,state,value,confidence,evidenceId
chis-sweet-adventures,progression,known,0,0.95,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,problemSolving,known,0,0.95,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,strategy,known,0,0.95,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,pacing,known,0,0.90,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,mysteryReveal,known,0,0.95,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,worldBuilding,known,0,0.95,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,characterArcWeight,known,1,0.90,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,relationshipStructure,known,2,0.90,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,comedy,known,3,0.90,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,darkness,known,0,0.95,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,mentalStress,known,0,0.95,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,romance,known,0,0.95,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,emotionalWarmth,known,4,0.95,blind-replacement-v1-reconciled-chis-sweet-adventures
chis-sweet-adventures,artRealism,known,0,0.95,ev-g2-reuse-art-chis-sweet-adventures
chis-sweet-adventures,artDensity,known,1,0.90,ev-g2-reuse-art-chis-sweet-adventures
chis-sweet-adventures,visualSoftness,known,4,0.95,ev-g2-reuse-art-chis-sweet-adventures
chis-sweet-adventures,motionImpact,known,2,0.82,ev-g2-reuse-art-chis-sweet-adventures
lovely-muco,progression,known,0,0.95,blind-replacement-v1-reconciled-lovely-muco
lovely-muco,problemSolving,known,0,0.95,blind-replacement-v1-reconciled-lovely-muco
lovely-muco,strategy,known,0,0.95,blind-replacement-v1-reconciled-lovely-muco
lovely-muco,pacing,known,0,0.90,blind-replacement-v1-reconciled-lovely-muco
lovely-muco,mysteryReveal,known,0,0.95,blind-replacement-v1-reconciled-lovely-muco
lovely-muco,worldBuilding,known,1,0.85,blind-replacement-v1-reconciled-lovely-muco
lovely-muco,characterArcWeight,known,1,0.90,blind-replacement-v1-reconciled-lovely-muco
lovely-muco,relationshipStructure,known,2,0.90,blind-replacement-v1-reconciled-lovely-muco
lovely-muco,comedy,known,4,0.95,blind-replacement-v1-reconciled-lovely-muco
lovely-muco,darkness,known,0,0.95,blind-replacement-v1-reconciled-lovely-muco
lovely-muco,mentalStress,known,0,0.95,blind-replacement-v1-reconciled-lovely-muco
