workId,themeId,centrality,confidence,evidenceId
chis-sweet-adventures,foundFamily,2,0.90,blind-replacement-v1-reconciled-chis-sweet-adventures
lovely-muco,workplace,1,0.85,blind-replacement-v1-reconciled-lovely-muco
lovely-muco,foundFamily,2,0.85,blind-replacement-v1-reconciled-lovely-muco
penguin-and-house,cooking,1,0.85,blind-replacement-v1-reconciled-penguin-and-house
penguin-and-house,foundFamily,2,0.90,blind-replacement-v1-reconciled-penguin-and-house
sheetas-little-big-world,adventure,2,0.90,blind-replacement-v1-reconciled-sheetas-little-big-world
sheetas-little-big-world,foundFamily,1,0.85,blind-replacement-v1-reconciled-sheetas-little-big-world
sheetas-little-big-world,exploration,2,0.90,blind-replacement-v1-reconciled-sheetas-little-big-world
fairy-tail,adventure,2,0.90,blind-replacement-v1-reconciled-fairy-tail
fairy-tail,combat,2,0.90,blind-replacement-v1-reconciled-fairy-tail
fairy-tail,foundFamily,2,0.90,blind-replacement-v1-reconciled-fairy-tail
fire-force,combat,2,0.90,blind-replacement-v1-reconciled-fire-force
fire-force,investigation,2,0.90,blind-replacement-v1-reconciled-fire-force
fire-force,workplace,2,0.85,blind-replacement-v1-reconciled-fire-force
fire-force,foundFamily,1,0.85,blind-replacement-v1-reconciled-fire-force
the-seven-deadly-sins,adventure,2,0.90,blind-replacement-v1-reconciled-the-seven-deadly-sins
the-seven-deadly-sins,combat,2,0.90,blind-replacement-v1-reconciled-the-seven-deadly-sins
the-seven-deadly-sins,foundFamily,2,0.90,blind-replacement-v1-reconciled-the-seven-deadly-sins
tokyo-revengers,combat,2,0.90,blind-replacement-v1-reconciled-tokyo-revengers
tokyo-revengers,investigation,2,0.85,blind-replacement-v1-reconciled-tokyo-revengers
tokyo-revengers,revenge,1,0.85,blind-replacement-v1-reconciled-tokyo-revengers
tokyo-revengers,timeTravel,2,0.90,blind-replacement-v1-reconciled-tokyo-revengers
tokyo-revengers,school,2,0.85,blind-replacement-v1-reconciled-tokyo-revengers
tokyo-revengers,foundFamily,1,0.85,blind-replacement-v1-reconciled-tokyo-revengers
